media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
VIUVALENCIA.COM,46017,6.592,213,217,200
XTRADIO.ES,46800,1.568,51,57,31
APUNTMENORCA.COM,07701,14.290,461,463,455
ARA.CAT - ARABALEARS.CAT,08015,402.111,12.971,13.508,11.429
ARTSMALLORCA.COM,07184,23.012,742,559,1.270
BALEARES-SINFRONTERAS.COM,07002,5.527,178,194,132
BALEARSVADEVI.CAT,08221,6.558,212,199,249
CANAL4DIARIO.COM,07121,8.073,260,256,273
CRONICABALEAR.ES,07004,1.827.905,58.965,59.092,58.598
DBALEARS.CAT,07001,179.336,5.785,5.776,5.812
DIARIODEIBIZA.ES,07800,2.290.744,73.895,74.257,72.854
DIARIODEMALLORCA.ES,07006,5.121.597,165.213,166.477,161.579
DIARIODEMARRATXI.COM,07009,11.660,376,358,428
DIGITALMANACOR.COM,07500,20.137,650,608,769
ECONOMIADEMALLORCA.COM,30100,20.658,666,771,366
ELDIARIO.ES - ILLES BALEARS,28028,534.649,17.247,14.436,25.329
ELIRIS.CAT,07760,7.274,235,239,221
ELSOLLER.CAT,07011,9.853,318,331,280
EUROPAPRESS.ES - ILLES BALEARS,28046,94.546,3.050,3.183,2.668
FIBWIDIARIO.COM,07009,8.930,288,312,221
FIRESIFESTES.ES,07350,5.156,166,107,337
FORAVILA.NET,07100,16.475,531,551,474
FUTBOLDESDEMALLORCA.COM,07006,218.420,7.046,6.979,7.239
GACETANAUTICA.ES,07009,5.716,184,210,110
GASTRONOMICAMENT.CAT,07005,8.143,263,248,306
MAJORCADAILYBULLETIN.COM,07011,1.040.595,33.568,31.926,38.288
MALLORCACONFIDENCIAL.COM,07013,5.243,169,183,129
MALLORCADIARIO.COM,07141,329.175,10.619,11.249,8.807
MALLORCAMAGAZIN.COM,07011,3.055.488,98.564,96.784,103.682
MALLORCAZEITUNG.ES,07006,1.833.265,59.138,59.689,57.552
MANACORNOTICIAS.COM,07500,27.197,877,956,651
MENORCA.INFO,07714,1.985.078,64.035,64.425,62.913
MENORCAALDIA.COM,07702,205.167,6.618,6.263,7.641
NOUDIARI.ES,07800,216.690,6.990,7.235,6.284
OKDIARIO.COM - OKBALEARES,28033,519.323,16.752,16.769,16.706
