media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
VALENCIAPLAZA.COM,46002,5.737.291,185.074,199.880,142.506
VILA-REALINFORMACIO.COM,12004,3.428,111,131,52
VIUVALENCIA.COM,46017,7.499,242,249,223
XTRADIO.ES,46800,2.537,82,92,51
APUNTMENORCA.COM,07701,22.111,713,738,643
ARA.CAT - ARABALEARS.CAT,08015,532.586,17.180,17.899,15.114
ARTSMALLORCA.COM,07184,56.521,1.823,1.361,3.152
BALEARES-SINFRONTERAS.COM,07002,8.806,284,308,215
BALEARSVADEVI.CAT,08221,11.184,361,387,285
CANAL4DIARIO.COM,07121,10.511,339,342,332
CRONICABALEAR.ES,07004,2.741.483,88.435,88.137,89.291
DBALEARS.CAT,07001,259.786,8.380,8.425,8.252
DIARIODEIBIZA.ES,07800,4.243.558,136.889,139.173,130.322
DIARIODEMALLORCA.ES,07006,9.139.271,294.815,298.954,282.916
DIARIODEMARRATXI.COM,07009,32.952,1.063,986,1.284
DIGITALMANACOR.COM,07500,37.223,1.201,1.128,1.409
ECONOMIADEMALLORCA.COM,30100,41.411,1.336,1.481,920
ELDIARIO.ES - ILLES BALEARS,28028,565.868,18.254,15.306,26.728
ELIRIS.CAT,07760,10.822,349,361,316
ELSOLLER.CAT,07011,14.834,479,502,412
EUROPAPRESS.ES - ILLES BALEARS,28046,165.511,5.339,5.687,4.339
FIBWIDIARIO.COM,07009,12.707,410,454,282
FIRESIFESTES.ES,07350,8.933,288,191,569
FORAVILA.NET,07100,27.727,894,926,803
FUTBOLDESDEMALLORCA.COM,07006,342.932,11.062,10.786,11.857
GACETANAUTICA.ES,07009,10.999,355,405,211
GASTRONOMICAMENT.CAT,07005,9.614,310,298,345
MAJORCADAILYBULLETIN.COM,07011,1.577.738,50.895,49.942,53.635
MALLORCACONFIDENCIAL.COM,07013,6.870,222,243,160
MALLORCADIARIO.COM,07141,407.385,13.141,14.087,10.423
MALLORCAMAGAZIN.COM,07011,4.445.003,143.387,143.269,143.728
MALLORCAZEITUNG.ES,07006,3.114.628,100.472,102.607,94.334
MANACORNOTICIAS.COM,07500,43.616,1.407,1.542,1.019
MENORCA.INFO,07714,4.470.250,144.202,148.422,132.068
MENORCAALDIA.COM,07702,338.763,10.928,10.549,12.018
NOUDIARI.ES,07800,289.777,9.348,9.549,8.768
OKDIARIO.COM - OKBALEARES,28033,568.074,18.325,18.466,17.918
PALMESANA.COM,07005,9.273,299,310,269
PASIONPORELMAR.COM,07005,5.477,177,203,101
PERIODICODEIBIZA.ES,07800,4.189.847,135.156,143.149,112.177
REVISTA07500.COM,07500,43.485,1.403,1.210,1.957
SAVEU.CAT,07100,34.755,1.121,1.241,777
UEPMALLORCA.APP,07011,9.525,307,310,299
ULTIMAHORA.ES,07011,18.824.135,607.230,630.343,540.781
ELNACIONAL.CAT - CATALÀ,08029,30.197.350,974.108,999.446,901.261
RAC1.CAT,08036,33.150.994,1.069.387,1.197.962,699.734
ARA.CAT - CATALÀ,08015,18.910.931,610.030,626.870,561.616
GRUP ELMON.CAT,08221,3.494.638,112.730,113.513,110.481
BALEARSVADEVI.CAT,08221,11.184,361,387,285
CASTELLONOTICIES.COM,08221,50.927,1.643,1.761,1.303
DIARILAVEU.CAT,08221,365.924,11.804,12.713,9.189
ELMON.CAT,08221,2.289.683,73.861,73.160,75.876
ELMON.CAT - ISABADELL.CAT,08221,181.685,5.861,6.111,5.142
ELMON.CAT - ELCINEFIL.CAT,08221,18.644,601,599,608
ELMON.CAT - VADEVI,08221,57.000,1.839,1.463,2.920
ELMON.CAT - TOTBARCELONA.CAT,08007,618.252,19.944,18.596,23.818
ELMON.CAT - VADEGUST,08221,70.943,2.288,2.544,1.553
LAVEUDELSLLIBRES.CAT,08221,13.894,448,357,710
MONESPORT.CAT,08221,275.015,8.871,8.423,10.161
MONPLANETA.CAT,08221,34.174,1.102,1.118,1.058
MONTERRASSA.CAT,08221,443.268,14.299,15.095,12.009
NOSALTRESLAVEU.CAT,08221,3.236,104,110,88
TORNAVEU.CAT,08221,8.057,260,300,144
E-NOTICIES - E-NOTICIES.CAT,08025,6.788.339,218.979,228.527,191.527
BETEVE.CAT,08018,3.051.327,98.430,101.284,90.226
EL PUNT AVUI.CAT,17005,3.810.923,122.933,125.538,115.444
EL PUNT AVUI.CAT - LECONOMIC,17005,27.563,889,969,661
EL PUNT AVUI.CAT - LESPORTIUDECATALUNYA.CAT,17005,402.720,12.991,13.270,12.188
DIARIDEGIRONA.CAT,17002,5.289.293,170.622,177.897,149.709
XCATALUNYA.CAT - CATALA,17001,3.571.738,115.217,114.496,117.291
REGIÓ7.CAT,08243,3.909.373,126.109,129.486,116.398
