media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg,pages_per_visit,avg_visit_duration,avg_interaction_time
BALAGUER.TV,25600,6.880,251,283,159,"1,20",0:01:28,0:00:33
ELCUGATENC.CAT,08171,6.845,292,329,185,"1,56",0:03:32,0:01:57
SAVEU.CAT,07100,6.688,576,625,435,"1,48",0:01:59,0:02:46
CATALUNYAPLURAL.CAT - CATALA,08029,6.431,246,270,176,"1,27",0:03:46,0:01:36
VALENCIADIARI.COM,46007,6.357,279,337,111,"1,35",0:01:56,0:01:30
MOLLERUSSA.TV,25230,5.824,201,199,206,"1,13",0:01:12,0:00:21
INFOCAMP.CAT,43001,5.754,240,240,241,"1,32",0:01:36,0:00:58
RÀDIO CIUTAT DE TARRAGONA,43005,4.667,197,224,121,"1,87",0:03:39,0:01:03
PIRINEUSTV.CAT,25700,4.581,195,205,165,"1,91",0:03:14,0:01:56
UEPMALLORCA.APP,07011,4.543,168,171,160,"1,65",0:01:59,0:00:40
ELSOLLER.CAT,07011,4.490,267,277,238,"1,51",0:03:56,0:01:52
JORNAL.CAT,08176,4.393,184,215,95,"1,66",0:03:34,0:01:03
PIRINEUSDIGITAL.CAT,25700,4.362,229,249,171,"1,60",0:02:34,0:01:14
TDBACTUALITAT.CAT,43830,4.065,185,199,144,"1,31",0:01:51,0:01:05
ALDIA.CAT,08015,4.020,156,173,106,"1,90",0:07:48,0:00:28
EXPRESDESANTANDREU.CAT,08389,3.802,173,189,127,"1,62",0:01:29,-
VALORS.ORG,08301,3.704,138,157,82,"1,44",0:03:02,0:01:19
AMICFICCIONS.CAT,08007,3.090,154,184,69,"4,59",0:07:09,0:07:32
COMARQUESNORD.CAT,44586,3.085,197,221,128,"2,00",0:02:31,0:01:51
TARREGA.TV,25300,2.572,89,103,46,"1,18",0:01:36,0:00:27
MESEBRE.CAT,43007,2.475,98,111,60,"1,72",0:02:26,0:00:42
LAGUIADEREUS.COM,43203,2.424,93,95,86,"1,80",0:02:20,0:00:52
PLAURGELLTV.CAT,25007,2.307,111,131,54,"2,32",0:02:41,0:02:00
RUBITV.CAT,08202,2.216,111,121,82,"1,45",0:01:58,0:01:06
LESVEGUERIES.CAT,08720,2.175,77,95,25,"1,44",0:01:34,0:00:38
MANRESADIARI.CAT,08243,2.153,96,98,90,"2,56",0:04:02,0:01:56
ELCAFEDEPIPA.COM,12600,2.063,93,94,89,"1,23",0:01:29,0:00:56
FIRESIFESTES.ES - CATALÀ,07350,2.060,73,50,138,"1,92",0:01:46,0:00:48
BELLATERRADIARI.CAT,08193,2.047,89,100,59,"1,73",0:02:37,0:01:25
AMIC,08007,1.984,84,91,66,"1,80",0:01:38,-
MESOSONA.CAT,08500,1.965,82,91,57,"1,99",0:03:21,0:01:00
ONABAGES.CAT,08650,1.954,76,85,52,"1,42",0:01:58,0:00:38
GARRIGUESTV.CAT,25007,1.938,83,95,50,"2,16",0:02:53,0:01:39
INDICADORDEECONOMIA.COM,43203,1.468,59,67,35,"1,78",0:02:40,0:01:15
DIARISANITAT.CAT,08029,1.256,52,57,38,"1,48",0:03:39,0:01:29
FOSBURY.CAT,08750,1.199,45,49,32,"1,28",0:02:03,0:00:54
LACONCA51.CAT,43400,1.081,38,42,26,"1,44",0:02:48,0:01:22
SEGARRATV.CAT,25007,996,41,45,30,"2,14",0:01:46,0:01:21
NOTICIESTGN.CAT,43003,837,29,35,13,"1,24",0:01:34,0:00:46
SEGRIATV.CAT,25007,794,29,31,23,"2,13",0:03:05,0:01:20
RADIOVALIRA.AD,25700,745,35,38,27,"1,82",0:05:54,0:01:23
NOGUERATV.CAT,25007,595,23,26,15,"2,12",0:02:39,0:01:15
EBREEXPERIENCE.COM,43007,593,22,23,20,"1,61",0:03:00,0:00:47
BAIX CAMP RADIO,43005,536,21,22,16,"1,17",0:02:10,0:00:39
DIARITREBALL.CAT,08029,434,18,21,8,"1,34",0:06:46,0:01:07
URGELLTV.CAT,25007,398,16,18,11,"2,01",0:02:37,0:01:08
21RADIO.CAT,03500,198,9,9,7,"1,76",0:02:36,0:00:59
AUE.CAT,25007,182,8,9,7,"1,93",0:02:33,0:00:45
FEMBASE.CAT,25001,160,7,8,4,"1,96",0:03:24,0:01:02
AMICIB.MEDIA,08007,142,6,6,3,"1,90",0:02:30,0:00:36
