media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg,pages_per_visit,avg_visit_duration,avg_interaction_time
LAOPINIONDETORRENT.ES,46900,9.224,422,524,130,"1,58",0:01:49,0:00:47
LASBANDASDEMUSICA.COM,46011,3.067,123,121,127,"1,31",0:01:24,0:00:37
LAVEUDELLIRIA.COM,46190,7.529,728,771,606,"1,61",0:01:27,0:02:04
LAVEUDELSLLIBRES.CAT,08221,7.434,295,244,439,"1,33",0:03:20,0:02:12
LESMUNTANYES.COM,03801,2.859,112,118,94,"1,48",0:03:32,0:01:12
LEVANTE-EMV.COM,46014,7.298.993,449.240,472.879,381.276,"1,66",0:03:15,0:02:40
LLETRAFERIT.COM,46010,13.043,528,563,428,"1,20",0:01:37,0:00:55
LOCLAR.ES,46870,31.485,1.869,2.071,1.288,"1,52",0:01:28,0:01:30
MARINAALTA.ES,03700,11.926,525,545,468,"2,01",0:01:34,0:00:49
MONOVER.COM,03640,3.935,192,223,104,"1,55",0:02:12,0:00:53
MONTGORADIO.ES,03700,373,14,16,9,"1,62",0:01:38,0:00:29
NOSALTRESLAVEU.CAT,08221,2.424,85,89,75,"1,14",0:02:02,0:00:51
NOSTRESPORT.COM,46019,9.597,341,361,286,"1,87",0:01:41,0:00:41
NOTICIASCV.COM,46010,35.956,1.228,1.457,570,"1,21",0:01:11,0:00:23
NOTICIASMARINAALTA.ES,03700,15.986,677,678,675,"1,31",0:01:44,0:01:18
OFFICIALPRESS.ES,46185,34.699,1.454,1.499,1.324,"1,43",0:01:10,-
PAGINA66.COM,03801,29.962,1.560,1.625,1.373,"1,63",0:02:05,0:01:44
PERIODICONTINYENT.COM,46870,21.794,1.337,1.614,542,"1,20",0:00:50,0:00:42
PORTALDEXATIVA.ES,46800,15.619,979,1.060,746,"1,33",0:00:56,-
PROXIMIATV.COM,46005,2.347,116,132,70,"3,33",0:03:09,0:03:15
RADIOBANDA.COM,46869,8.007,324,302,386,"1,49",0:01:41,0:00:45
RADIOESPORT914.COM,46015,7.094,520,603,282,"1,43",0:03:57,0:01:19
RADIOLITORAL.COM,03720,1.224,61,70,37,"2,04",0:02:49,0:01:40
REVISTAPOBLE.NET,12540,8.624,357,387,271,"1,18",0:01:03,0:00:33
REVISTASAO.CAT,46018,7.213,271,255,318,"1,77",0:02:44,0:01:06
REVISTAUALA.COM,03690,2.177,84,83,86,"2,55",0:10:56,0:01:00
TELEELX.ES,03202,103.059,6.152,6.559,4.983,"1,49",0:01:35,0:01:25
TUCOMARCA.COM,46360,9.004,340,394,184,"1,54",0:01:55,0:01:00
TV-A.ES,03420,4.080,161,179,110,"1,56",0:02:34,0:00:38
TVDENIA.COM,03700,5.119,203,230,125,"1,31",0:01:26,0:00:50
TVDIGITALONTINYENT.COM,46870,4.678,189,203,150,"1,22",0:00:44,0:00:35
VALENCIABASE.COM,12560,25.629,1.237,1.224,1.274,"1,50",0:02:32,0:01:25
VALENCIABONITA.ES,46970,617.442,31.636,30.986,33.506,"1,27",0:01:36,0:01:08
VALENCIACITY.ES,46005,8.323,291,335,164,"1,23",0:01:54,0:00:40
VALENCIADIARI.COM,46007,6.357,279,337,111,"1,35",0:01:56,0:01:30
VALENCIAEXTRA.COM,46017,142.292,5.360,6.116,3.187,"1,44",0:01:17,0:00:38
