codigo postal,lat,lon,poblacion,provincia,comunidad autonoma,prob_c,comarca2,provincia2,comunidad2,code2,prob_2
25651,1091771730.0,42161421170,Abella de la Conca,Lleida,Cataluña,abella de la conca,Pallars Jussà,Lerida/ Lleida,Cataluña/ Catalunya,250019.0,abella de la conca
25652,1091771730.0,42161421170,Abella de la Conca,Lleida,Cataluña,abella de la conca,Pallars Jussà,Lerida/ Lleida,Cataluña/ Catalunya,250019.0,abella de la conca
25747,1091771730.0,42161421170,Abella de la Conca,Lleida,Cataluña,abella de la conca,Pallars Jussà,Lerida/ Lleida,Cataluña/ Catalunya,250019.0,abella de la conca
8630,1902210180.0,41517943520,Abrera,Barcelona,Cataluña,abrera,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80018.0,abrera
46140,-1286690470.0,40061200130,Ademuz,Valencia/València,Comunidad Valenciana,ademuz,El Rincón de Ademuz,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46001.0,ademuz
46729,-0.22439286,38918813330,Ador,Valencia/València,Comunidad Valenciana,ador,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46002.0,ador
25611,0.76284806,41999559420,Àger,Lleida,Cataluña,ager,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250024.0,ager
25691,0.76284806,41999559420,Àger,Lleida,Cataluña,ager,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250024.0,ager
25692,0.76284806,41999559420,Àger,Lleida,Cataluña,ager,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250024.0,ager
3698,-0.63891979,38439493160,Agost,Alicante/Alacant,Comunidad Valenciana,agost,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3002.0,agost
25310,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
25317,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
25318,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
25331,1099223570.0,41787365580,Agramunt,Lleida,Cataluña,agramunt,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250030.0,agramunt
3837,-0.51595543,38780004040,Agres,Alicante/Alacant,Comunidad Valenciana,agres,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3003.0,agres
8256,1629367020.0,41748312780,Aguilar de Segarra,Barcelona,Cataluña,aguilar de segarra,Bages,Barcelona,Cataluña/ Catalunya,80023.0,aguilar de segarra
17707,2846573280.0,42394024940,Agullana,Girona,Cataluña,agullana,Alt Empordà,Gerona/Girona,Cataluña/ Catalunya,170010.0,agullana
46890,-0.54782899,38822294420,Agullent,Valencia/València,Comunidad Valenciana,agullent,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46004.0,agullent
46812,-0.5914752,38877749470,Aielo de Malferit,Valencia/València,Comunidad Valenciana,aielo de malferit,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46042.0,aielo de malferit
46842,-0.34335159,38881725390,Aielo de Rugat,Valencia/València,Comunidad Valenciana,aielo de rugat,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46043.0,aielo de rugat
8591,2250667850.0,41768407750,Aiguafreda,Barcelona,Cataluña,aiguafreda,Vallès Oriental,Barcelona,Cataluña/ Catalunya,80142.0,aiguafreda
43714,1358540880.0,41329338990,Aiguamúrcia,Tarragona,Cataluña,aiguamurcia,Alt Camp,Tarragona,Cataluña/ Catalunya,430017.0,aiguamurcia
43815,1358540880.0,41329338990,Aiguamúrcia,Tarragona,Cataluña,aiguamurcia,Alt Camp,Tarragona,Cataluña/ Catalunya,430017.0,aiguamurcia
17181,2761630110.0,41938453150,Aiguaviva,Girona,Cataluña,aiguaviva,Gironès,Gerona/Girona,Cataluña/ Catalunya,170025.0,aiguaviva
3569,-0.36258669,38498870920,Aigües,Alicante/Alacant,Comunidad Valenciana,aigues,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3004.0,aigues
12222,-0.34049718,39900168970,Aín,Castellón/Castelló,Comunidad Valenciana,ain,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12002.0,ain
25182,0.4579458,41494645470,Aitona,Lleida,Cataluña,aitona,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250387.0,aitona
7730,4139541330.0,39934847670,Alayor,Illes Balears,Illes Balears,alayor,Comarca de Mahón/ Comarca de Maó,Menorca,Islas Baleares/ Illes balears,,alayor
46970,-0.46015527,39458078540,Alaquàs,Valencia/València,Comunidad Valenciana,alaquas,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46005.0,alaquas
7340,2789294220.0,39705312870,Alaró,Illes Balears,Illes Balears,alaro,El Raiguer/ es Raiguer,Mallorca,Islas Baleares/ Illes balears,,alaro
25715,1508444980.0,42351703410,Alàs i Cerc,Lleida,Cataluña,alas i cerc,Alt Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250058.0,alas i cerc
25717,1508444980.0,42351703410,Alàs i Cerc,Lleida,Cataluña,alas i cerc,Alt Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250058.0,alas i cerc
25718,1508444980.0,42351703410,Alàs i Cerc,Lleida,Cataluña,alas i cerc,Alt Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250058.0,alas i cerc
46860,-0.51986706,38841804590,Albaida,Valencia/València,Comunidad Valenciana,albaida,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46006.0,albaida
46470,-0.41464448,39397211870,Albal,Valencia/València,Comunidad Valenciana,albal,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46007.0,albal
46687,-0.38619815,39201271170,Albalat de la Ribera,Valencia/València,Comunidad Valenciana,albalat de la ribera,La Ribera Baixa,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46008.0,albalat de la ribera
46135,-0.34583998,39543790910,Albalat dels Sorells,Valencia/València,Comunidad Valenciana,albalat dels sorells,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46009.0,albalat dels sorells
46591,-0.33712468,39702702050,Albalat dels Tarongers,Valencia/València,Comunidad Valenciana,albalat dels tarongers,El Camp de Morvedre,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46010.0,albalat dels tarongers
17733,2720197270.0,42304546550,Albanyà,Girona,Cataluña,albanya,Alt Empordà,Gerona/Girona,Cataluña/ Catalunya,170031.0,albanya
17734,2720197270.0,42304546550,Albanyà,Girona,Cataluña,albanya,Alt Empordà,Gerona/Girona,Cataluña/ Catalunya,170031.0,albanya
25171,0.60330154,41572466850,Albatàrrec,Lleida,Cataluña,albatarrec,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250077.0,albatarrec
3340,-0.86792141,38178946360,Albatera,Alicante/Alacant,Comunidad Valenciana,albatera,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3005.0,albatera
46260,-0.51744033,39116851930,Alberic,Valencia/València,Comunidad Valenciana,alberic,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46011.0,alberic
25135,0.6604596,41751005580,Albesa,Lleida,Cataluña,albesa,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250083.0,albesa
43716,1486322060.0,41245986830,Albinyana,Tarragona,Cataluña,albinyana,Baix Penedès,Tarragona,Cataluña/ Catalunya,430022.0,albinyana
43718,1486322060.0,41245986830,Albinyana,Tarragona,Cataluña,albinyana,Baix Penedès,Tarragona,Cataluña/ Catalunya,430022.0,albinyana
12140,0.02412299,40357924790,Albocàsser,Castellón/Castelló,Comunidad Valenciana,albocasser,L'Alt Maestrat,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12003.0,albocasser
17136,3085905210.0,42104371870,Albons,Girona,Cataluña,albons,Baix Empordà,Gerona/Girona,Cataluña/ Catalunya,170046.0,albons
46369,-0.77134683,39391523960,Alborache,Valencia/València,Comunidad Valenciana,alborache,La Hoya de Buñol,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46012.0,alborache
46120,-0.34992845,39500246050,Alboraia/Alboraya,Valencia/València,Comunidad Valenciana,alboraia alboraya,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46013.0,alboraia alboraya
46128,-0.34992845,39500246050,Alboraia/Alboraya,Valencia/València,Comunidad Valenciana,alboraia alboraya,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46013.0,alboraia alboraya
46129,-0.34992845,39500246050,Alboraia/Alboraya,Valencia/València,Comunidad Valenciana,alboraia alboraya,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46013.0,alboraia alboraya
46550,-0.32290668,39545003370,Albuixech,Valencia/València,Comunidad Valenciana,albuixech,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46014.0,albuixech
12570,0.22571524,40304174040,Alcalà de Xivert,Castellón/Castelló,Comunidad Valenciana,alcala de xivert,El Baix Maestrat,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12004.0,alcala de xivert
12579,0.22571524,40304174040,Alcalà de Xivert,Castellón/Castelló,Comunidad Valenciana,alcala de xivert,El Baix Maestrat,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12004.0,alcala de xivert
3723,-0.04160798,38749653490,Alcalalí,Alicante/Alacant,Comunidad Valenciana,alcalali,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3006.0,alcalali
3728,-0.04160798,38749653490,Alcalalí,Alicante/Alacant,Comunidad Valenciana,alcalali,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3006.0,alcalali
43530,0.48110591,40543969130,Alcanar,Tarragona,Cataluña,alcanar,Montsià,Tarragona,Cataluña/ Catalunya,430043.0,alcanar
43569,0.48110591,40543969130,Alcanar,Tarragona,Cataluña,alcanar,Montsià,Tarragona,Cataluña/ Catalunya,430043.0,alcanar
25162,0.61727597,41480982120,Alcanó,Lleida,Cataluña,alcano,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250100.0,alcano
46293,-0.55970929,39070653000,Alcàntera de Xúquer,Valencia/València,Comunidad Valenciana,alcantera de xuquer,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46016.0,alcantera de xuquer
25180,0.52411008,41563015380,Alcarràs,Lleida,Cataluña,alcarras,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250117.0,alcarras
25193,0.52411008,41563015380,Alcarràs,Lleida,Cataluña,alcarras,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250117.0,alcarras
46220,-0.44426722,39368543130,Alcàsser,Valencia/València,Comunidad Valenciana,alcasser,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46015.0,alcasser
46290,-0.44426722,39368543130,Alcàsser,Valencia/València,Comunidad Valenciana,alcasser,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46015.0,alcasser
3841,-0.40197036,38794472240,Alcocer de Planes,Alicante/Alacant,Comunidad Valenciana,alcocer de planes,Alt Penedès,Barcelona,Cataluña/ Catalunya,81640.0,pla del penedes el
3814,-0.33100925,38675485640,Alcoleja,Alicante/Alacant,Comunidad Valenciana,alcoleja,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3008.0,alcoleja
25560,0.69423798,41648549330,Alcoletge,Lleida,Cataluña,alcoletge,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250122.0,alcoletge
25660,0.69423798,41648549330,Alcoletge,Lleida,Cataluña,alcoletge,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250122.0,alcoletge
43460,1168658600.0,41262847380,Alcover,Tarragona,Cataluña,alcover,Alt Camp,Tarragona,Cataluña/ Catalunya,430056.0,alcover
3800,-0.47318376,38698368940,Alcoi/Alcoy,Alicante/Alacant,Comunidad Valenciana,alcoi alcoy,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3009.0,alcoi alcoy
3801,-0.47318376,38698368940,Alcoi/Alcoy,Alicante/Alacant,Comunidad Valenciana,alcoi alcoy,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3009.0,alcoi alcoy
3802,-0.47318376,38698368940,Alcoi/Alcoy,Alicante/Alacant,Comunidad Valenciana,alcoi alcoy,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3009.0,alcoi alcoy
3803,-0.47318376,38698368940,Alcoi/Alcoy,Alicante/Alacant,Comunidad Valenciana,alcoi alcoy,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3009.0,alcoi alcoy
3804,-0.47318376,38698368940,Alcoi/Alcoy,Alicante/Alacant,Comunidad Valenciana,alcoi alcoy,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3009.0,alcoi alcoy
3818,-0.47318376,38698368940,Alcoi/Alcoy,Alicante/Alacant,Comunidad Valenciana,alcoi alcoy,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3009.0,alcoi alcoy
46172,-0.70230954,39797381670,Alcublas,Valencia/València,Comunidad Valenciana,alcublas,Los Serranos,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46018.0,alcublas
7400,3120521670.0,39851332320,Alcudia,Illes Balears,Illes Balears,alcudia,El Raiguer/ es Raiguer,Mallorca,Islas Baleares/ Illes balears,,alcudia
12222,-0.35475966,39915529660,Alcudia de Veo,Castellón/Castelló,Comunidad Valenciana,alcudia de veo,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12006.0,alcudia de veo
46960,-0.46197516,39464919970,Aldaia,Valencia/València,Comunidad Valenciana,aldaia,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46021.0,aldaia
43591,0.50001936,40880053680,Aldover,Tarragona,Cataluña,aldover,Baix Ebre,Tarragona,Cataluña/ Catalunya,430069.0,aldover
8328,2294390290.0,41493877980,Alella,Barcelona,Cataluña,alella,Maresme,Barcelona,Cataluña/ Catalunya,80039.0,alella
46910,-0.39004439,39422598170,Alfafar,Valencia/València,Comunidad Valenciana,alfafar,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46022.0,alfafar
3838,-0.55552339,38772748280,Alfafara,Alicante/Alacant,Comunidad Valenciana,alfafara,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3010.0,alfafara
43528,0.40041426,40872905350,Alfara de Carles,Tarragona,Cataluña,alfara de carles,Baix Ebre,Tarragona,Cataluña/ Catalunya,430081.0,alfara de carles
46594,-0.35498566,39762935750,Alfara de la Baronia,Valencia/València,Comunidad Valenciana,alfara de la baronia,El Camp de Morvedre,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46024.0,alfara de la baronia
46115,-0.38497191,39544066020,Alfara del Patriarca,Valencia/València,Comunidad Valenciana,alfara del patriarca,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46025.0,alfara del patriarca
46197,-0.5595106,39276809660,Alfarp,Valencia/València,Comunidad Valenciana,alfarp,,,,,
25120,0.57295527,41829065150,Alfarràs,Lleida,Cataluña,alfarras,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250138.0,alfarras
46893,-0.49639575,38903975410,Alfarrasí,Valencia/València,Comunidad Valenciana,alfarrasi,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46027.0,alfarrasi
46725,-0.25158611,38927808490,Alfauir,Valencia/València,Comunidad Valenciana,alfauir,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46023.0,alfauir
25161,0.62011828,41522416700,Alfés,Lleida,Cataluña,alfes,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250143.0,alfes
12609,-0.26847055,39837869530,Alfondeguilla,Castellón/Castelló,Comunidad Valenciana,alfondeguilla,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12007.0,alfondeguilla
43365,0.97506058,41209976270,Alforja,Tarragona,Cataluña,alforja,Baix Camp,Tarragona,Cataluña/ Catalunya,430094.0,alforja
7210,2895909630.0,39559600020,Algaida,Illes Balears,Illes Balears,algaida,El Llano de Mallorca/ es Pla de Mallorca,Mallorca,Islas Baleares/ Illes balears,,algaida
7220,2895909630.0,39559600020,Algaida,Illes Balears,Illes Balears,algaida,El Llano de Mallorca/ es Pla de Mallorca,Mallorca,Islas Baleares/ Illes balears,,algaida
7629,2895909630.0,39559600020,Algaida,Illes Balears,Illes Balears,algaida,El Llano de Mallorca/ es Pla de Mallorca,Mallorca,Islas Baleares/ Illes balears,,algaida
46593,-0.36745953,39781092200,Algar de Palancia,Valencia/València,Comunidad Valenciana,algar de palancia,El Camp de Morvedre,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46028.0,algar de palancia
46680,-0.43644269,39189072700,Algemesí,Valencia/València,Comunidad Valenciana,algemesi,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46029.0,algemesi
25130,0.63836183,41814398130,Algerri,Lleida,Cataluña,algerri,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250156.0,algerri
46148,-0.3623082,39752436580,Algimia de Alfara,Valencia/València,Comunidad Valenciana,algimia de alfara,Baix Ebre,Tarragona,Cataluña/ Catalunya,430081.0,alfara de carles
12414,-0.4420873,39914346060,Algimia de Almonacid,Castellón/Castelló,Comunidad Valenciana,algimia de almonacid,El Alto Palancia,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12008.0,algimia de almonacid
46230,-0.46964795,39261530420,Alginet,Valencia/València,Comunidad Valenciana,alginet,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46031.0,alginet
3169,-0.79568423,38086816370,Algorfa,Alicante/Alacant,Comunidad Valenciana,algorfa,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3012.0,algorfa
25125,0.58391814,41736317160,Alguaire,Lleida,Cataluña,alguaire,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250169.0,alguaire
3668,-1003037450.0,38338001380,Algueña,Alicante/Alacant,Comunidad Valenciana,alguena,El Vinalopó Mitjà / El Vinalopó Medio,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3013.0,alguena
3001,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3002,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3003,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3004,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3005,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3006,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3007,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3008,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3009,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3010,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3011,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3012,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3013,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3014,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3015,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3016,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3112,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3113,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3114,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3115,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3138,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3409,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3540,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3559,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
3699,-0.4831832,38345487050,Alicante/Alacant,Alicante/Alacant,Comunidad Valenciana,alicante alacant,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3014.0,alacant alicante
25573,1317391810.0,42548714130,Alins,Lleida,Cataluña,alins,Pallars Sobirà,Lerida/ Lleida,Cataluña/ Catalunya,250175.0,alins
25574,1317391810.0,42548714130,Alins,Lleida,Cataluña,alins,Pallars Sobirà,Lerida/ Lleida,Cataluña/ Catalunya,250175.0,alins
25575,1317391810.0,42548714130,Alins,Lleida,Cataluña,alins,Pallars Sobirà,Lerida/ Lleida,Cataluña/ Catalunya,250175.0,alins
43813,1305953570.0,41294610310,Alió,Tarragona,Cataluña,alio,Alt Camp,Tarragona,Cataluña/ Catalunya,430108.0,alio
25100,0.43774764,41731689790,Almacelles,Lleida,Cataluña,almacelles,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250194.0,almacelles
46132,-0.3557517,39512270260,Almàssera,Valencia/València,Comunidad Valenciana,almassera,L'Horta Nord,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46032.0,almassera
12550,-0.06448283,39945910180,Almassora,Castellón/Castelló,Comunidad Valenciana,almassora,La Plana Alta,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12009.0,almassora
25187,0.42383283,41305380970,Almatret,Lleida,Cataluña,almatret,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250208.0,almatret
12413,-0.40830291,39872734370,Almedíjar,Castellón/Castelló,Comunidad Valenciana,almedijar,El Alto Palancia,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12010.0,almedijar
25126,0.56808578,41797693090,Almenar,Lleida,Cataluña,almenar,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250215.0,almenar
12590,-0.22531046,39753257050,Almenara,Castellón/Castelló,Comunidad Valenciana,almenara,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12011.0,almenara
46726,-0.2849761,38916355760,Almiserà,Valencia/València,Comunidad Valenciana,almisera,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46033.0,almisera
46723,-0.18134817,38943988850,Almoines,Valencia/València,Comunidad Valenciana,almoines,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46034.0,almoines
3160,-0.79201713,38109779910,Almoradí,Alicante/Alacant,Comunidad Valenciana,almoradi,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3015.0,almoradi
3179,-0.79201713,38109779910,Almoradí,Alicante/Alacant,Comunidad Valenciana,almoradi,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3015.0,almoradi
43393,1114037700.0,41197969460,Almoster,Tarragona,Cataluña,almoster,Baix Camp,Tarragona,Cataluña/ Catalunya,430115.0,almoster
3827,-0.35370678,38761557640,Almudaina,Alicante/Alacant,Comunidad Valenciana,almudaina,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3016.0,almudaina
46440,-0.41293657,39290048770,Almussafes,Valencia/València,Comunidad Valenciana,almussafes,La Ribera Baixa,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46035.0,almussafes
25737,0.96103348,41911902450,Alòs de Balaguer,Lleida,Cataluña,alos de balaguer,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250220.0,alos de balaguer
17537,1885509820.0,42372532730,Alp,Girona,Cataluña,alp,Cerdanya,Gerona/Girona,Cataluña/ Catalunya,170062.0,alp
17538,1885509820.0,42372532730,Alp,Girona,Cataluña,alp,Cerdanya,Gerona/Girona,Cataluña/ Catalunya,170062.0,alp
8587,2100936220.0,42119187670,Alpens,Barcelona,Cataluña,alpens,Lluçanès,Barcelona,Cataluña/ Catalunya,80044.0,alpens
25110,0.55526727,41666506160,Alpicat,Lleida,Cataluña,alpicat,Segrià,Lerida/ Lleida,Cataluña/ Catalunya,250236.0,alpicat
