codigo postal,lat,lon,poblacion,provincia,comunidad autonoma,prob_c,comarca2,provincia2,comunidad2,code2,prob_2
12005,-0.03688142,39986408090,Castellón de la Plana/Castelló de la Plana,Castellón/Castelló,Comunidad Valenciana,castellon de la plana castello de la plana,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250693.0,castello de farfanya
12006,-0.03688142,39986408090,Castellón de la Plana/Castelló de la Plana,Castellón/Castelló,Comunidad Valenciana,castellon de la plana castello de la plana,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250693.0,castello de farfanya
12100,-0.03688142,39986408090,Castellón de la Plana/Castelló de la Plana,Castellón/Castelló,Comunidad Valenciana,castellon de la plana castello de la plana,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250693.0,castello de farfanya
12560,-0.03688142,39986408090,Castellón de la Plana/Castelló de la Plana,Castellón/Castelló,Comunidad Valenciana,castellon de la plana castello de la plana,Noguera,Lerida/ Lleida,Cataluña/ Catalunya,250693.0,castello de farfanya
46726,-0.26340163,38914482400,Castellonet de la Conquesta,Valencia/València,Comunidad Valenciana,castellonet de la conquesta,Anoia,Barcelona,Cataluña/ Catalunya,80636.0,castelloli
17248,3067984430.0,41814266060,Castell-Platja d'Aro,Girona,Cataluña,castellplatja daro,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3053.0,castalla
17249,3067984430.0,41814266060,Castell-Platja d'Aro,Girona,Cataluña,castellplatja daro,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3053.0,castalla
17250,3067984430.0,41814266060,Castell-Platja d'Aro,Girona,Cataluña,castellplatja daro,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3053.0,castalla
25334,0.9870482,41746772300,Castellserà,Lleida,Cataluña,castellsera,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46091.0,castellonet de la conquesta
8183,2121216750.0,41751341920,Castellterçol,Barcelona,Cataluña,castelltercol,Urgell,Lerida/ Lleida,Cataluña/ Catalunya,250707.0,castellsera
43392,1096583670.0,41181343080,Castellvell del Camp,Tarragona,Cataluña,castellvell del camp,Moianès,Girona,Cataluña/ Catalunya,80641.0,castelltercol
8732,1619326060.0,41326147490,Castellví de la Marca,Barcelona,Cataluña,castellvi de la marca,Baix Camp,Tarragona,Cataluña/ Catalunya,430424.0,castellvell del camp
8769,1898917280.0,41449132180,Castellví de Rosanes,Barcelona,Cataluña,castellvi de rosanes,Alt Penedès,Barcelona,Cataluña/ Catalunya,80654.0,castellvi de la marca
46141,-1303426170.0,40131364650,Castielfabib,Valencia/València,Comunidad Valenciana,castielfabib,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80667.0,castellvi de rosanes
12123,-0.37881624,40130782900,Castillo de Villamalefa,Castellón/Castelló,Comunidad Valenciana,castillo de villamalefa,El Rincón de Ademuz,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46092.0,castielfabib
46196,-0.56933467,39275294490,Catadau,Valencia/València,Comunidad Valenciana,catadau,El Alto Mijares,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12041.0,castillo de villamalefa
46470,-0.40311595,39402486250,Catarroja,Valencia/València,Comunidad Valenciana,catarroja,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46093.0,catadau
12513,0.02331551,40471935640,Catí,Castellón/Castelló,Comunidad Valenciana,cati,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46094.0,catarroja
3158,-0.80464175,38159649590,Catral,Alicante/Alacant,Comunidad Valenciana,catral,Tarragonès,Tarragona,Cataluña/ Catalunya,430430.0,catllar el
46315,-1278867180.0,39558527330,Caudete de las Fuentes,Valencia/València,Comunidad Valenciana,caudete de las fuentes,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3055.0,catral
12440,-0.56835008,39946746930,Caudiel,Castellón/Castelló,Comunidad Valenciana,caudiel,La Plana de Utiel-Requena,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46095.0,caudete de las fuentes
25722,1605122570.0,42324983870,Cava,Lleida,Cataluña,cava,El Alto Palancia,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12043.0,caudiel
17460,2879071240.0,42024614380,Celrà,Girona,Cataluña,celra,Selva,Gerona/Girona,Cataluña/ Catalunya,171899.0,cellera de ter la
8540,2219408160.0,41798435920,Centelles,Barcelona,Cataluña,centelles,Gironès,Gerona/Girona,Cataluña/ Catalunya,170499.0,celra
8698,1859404180.0,42146664310,Cercs,Barcelona,Cataluña,cercs,Osona,Girona,Cataluña/ Catalunya,80673.0,centelles
46813,-0.57384286,38985924240,Cerdà,Valencia/València,Comunidad Valenciana,cerda,Berguedà,Girona,Cataluña/ Catalunya,82687.0,cercs
8193,2139892600.0,41491340540,Cerdanyola del Vallès,Barcelona,Cataluña,cerdanyola del valles,La Costera,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46096.0,cerda
8290,2139892600.0,41491340540,Cerdanyola del Vallès,Barcelona,Cataluña,cerdanyola del valles,La Costera,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46096.0,cerda
8758,1953312190.0,41395757810,Cervelló,Barcelona,Cataluña,cervello,Vallès Occidental,Barcelona,Cataluña/ Catalunya,82665.0,cerdanyola del valles
25200,1271191640.0,41665755370,Cervera,Lleida,Cataluña,cervera,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80689.0,cervello
25213,1271191640.0,41665755370,Cervera,Lleida,Cataluña,cervera,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80689.0,cervello
25214,1271191640.0,41665755370,Cervera,Lleida,Cataluña,cervera,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80689.0,cervello
25218,1271191640.0,41665755370,Cervera,Lleida,Cataluña,cervera,Baix Llobregat,Barcelona,Cataluña/ Catalunya,80689.0,cervello
12578,0.27566022,40454086090,Cervera del Maestre,Castellón/Castelló,Comunidad Valenciana,cervera del maestre,Segarra,Lerida/ Lleida,Cataluña/ Catalunya,250729.0,cervera
25460,0.85919872,41424693650,Cervià de les Garrigues,Lleida,Cataluña,cervia de les garrigues,El Baix Maestrat,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12044.0,cervera del maestre
17464,2910320710.0,42067712030,Cervià de Ter,Girona,Cataluña,cervia de ter,Garrigues,Lerida/ Lleida,Cataluña/ Catalunya,250735.0,cervia de les garrigues
46821,-0.66154777,39044666940,Chella,Valencia/València,Comunidad Valenciana,chella,Gironès,Gerona/Girona,Cataluña/ Catalunya,170502.0,cervia de ter
46176,-0.99729278,39747326970,Chelva,Valencia/València,Comunidad Valenciana,chelva,La Canal de Navarrés,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46107.0,chella
46351,-0.99729278,39747326970,Chelva,Valencia/València,Comunidad Valenciana,chelva,La Canal de Navarrés,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46107.0,chella
46350,-0.97432056,39591851910,Chera,Valencia/València,Comunidad Valenciana,chera,Los Serranos,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46106.0,chelva
46109,-0.68276913,39494866930,Cheste,Valencia/València,Comunidad Valenciana,cheste,La Plana de Utiel-Requena,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46108.0,chera
46380,-0.68276913,39494866930,Cheste,Valencia/València,Comunidad Valenciana,cheste,La Plana de Utiel-Requena,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46108.0,chera
12592,-0.18778601,39782061940,Chilches/Xilxes,Castellón/Castelló,Comunidad Valenciana,chilches xilxes,La Hoya de Buñol,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46109.0,cheste
12952,-0.18778601,39782061940,Chilches/Xilxes,Castellón/Castelló,Comunidad Valenciana,chilches xilxes,La Hoya de Buñol,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46109.0,cheste
46370,-0.7174205,39473885230,Chiva,Valencia/València,Comunidad Valenciana,chiva,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12053.0,chilches xilxes
12134,-0.28621587,40244361790,Chodos/Xodos,Castellón/Castelló,Comunidad Valenciana,chodos xodos,L'Alacantí,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3083.0,xixona jijona
12499,-0.32083076,39851378630,Chóvar,Castellón/Castelló,Comunidad Valenciana,chovar,La Hoya de Buñol,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46111.0,chiva
46167,-0.89209647,39655615370,Chulilla,Valencia/València,Comunidad Valenciana,chulilla,El Alto Palancia,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12056.0,chovar
12318,-0.21477188,40582313980,Cinctorres,Castellón/Castelló,Comunidad Valenciana,cinctorres,Los Serranos,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46112.0,chulilla
12231,-0.46295356,40054882780,Cirat,Castellón/Castelló,Comunidad Valenciana,cirat,Els Ports,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12045.0,cinctorres
12232,-0.46295356,40054882780,Cirat,Castellón/Castelló,Comunidad Valenciana,cirat,Els Ports,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12045.0,cinctorres
17741,2848501220.0,42268536940,Cistella,Girona,Cataluña,cistella,El Alto Mijares,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12046.0,cirat
7750,3837940370.0,40001919410,Ciutadella de Menorca,Illes Balears,Illes Balears,ciutadella de menorca,Pla de l'Estany,Gerona/Girona,Cataluña/ Catalunya,170353.0,camos
7760,3837940370.0,40001919410,Ciutadella de Menorca,Illes Balears,Illes Balears,ciutadella de menorca,Pla de l'Estany,Gerona/Girona,Cataluña/ Catalunya,170353.0,camos
7769,3837940370.0,40001919410,Ciutadella de Menorca,Illes Balears,Illes Balears,ciutadella de menorca,Pla de l'Estany,Gerona/Girona,Cataluña/ Catalunya,170353.0,camos
