media,zipcode,visits_data
CAMP-DE-TURIA.ES,46190.0,"{'browser_uniques': {'1_Month': '459', 'daily_avg': '15', 'mon_fri_avg': '17', 'sat_sun_avg': '10', 'pages_per_visit': '1,58', 'avg_visit_duration': '0:01:36', 'avg_interaction_time': '0:00:32'}, 'visits': {'1_Month': '499', 'daily_avg': '16', 'mon_fri_avg': '18', 'sat_sun_avg': '11'}, 'pages': {'1_Month': '790', 'daily_avg': '25', 'mon_fri_avg': '30', 'sat_sun_avg': '14'}}"
CANAL56.COM,12500.0,"{'browser_uniques': {'1_Month': '4.637', 'daily_avg': '197', 'mon_fri_avg': '206', 'sat_sun_avg': '171', 'pages_per_visit': '2,40', 'avg_visit_duration': '0:05:43', 'avg_interaction_time': '0:04:28'}, 'visits': {'1_Month': '7.162', 'daily_avg': '231', 'mon_fri_avg': '243', 'sat_sun_avg': '197'}, 'pages': {'1_Month': '17.179', 'daily_avg': '554', 'mon_fri_avg': '603', 'sat_sun_avg': '415'}}"
CASTELLO24.COM,46005.0,"{'browser_uniques': {'1_Month': '1.092', 'daily_avg': '45', 'mon_fri_avg': '50', 'sat_sun_avg': '29', 'pages_per_visit': '1,55', 'avg_visit_duration': '0:02:30', 'avg_interaction_time': '0:00:50'}, 'visits': {'1_Month': '1.635', 'daily_avg': '53', 'mon_fri_avg': '60', 'sat_sun_avg': '33'}, 'pages': {'1_Month': '2.533', 'daily_avg': '82', 'mon_fri_avg': '95', 'sat_sun_avg': '44'}}"
CASTELLOEXTRA.COM,46017.0,"{'browser_uniques': {'1_Month': '2.773', 'daily_avg': '105', 'mon_fri_avg': '110', 'sat_sun_avg': '89', 'pages_per_visit': '1,53', 'avg_visit_duration': '0:01:35', 'avg_interaction_time': '0:00:37'}, 'visits': {'1_Month': '3.475', 'daily_avg': '112', 'mon_fri_avg': '118', 'sat_sun_avg': '94'}, 'pages': {'1_Month': '5.300', 'daily_avg': '171', 'mon_fri_avg': '182', 'sat_sun_avg': '140'}}"
CASTELLONBASE.COM,12006.0,"{'browser_uniques': {'1_Month': '19.372', 'daily_avg': '1.072', 'mon_fri_avg': '1.132', 'sat_sun_avg': '899', 'pages_per_visit': '1,47', 'avg_visit_duration': '0:02:08', 'avg_interaction_time': '0:01:28'}, 'visits': {'1_Month': '39.343', 'daily_avg': '1.269', 'mon_fri_avg': '1.337', 'sat_sun_avg': '1.074'}, 'pages': {'1_Month': '57.880', 'daily_avg': '1.867', 'mon_fri_avg': '1.920', 'sat_sun_avg': '1.715'}}"
CASTELLONDIARIO.COM,12130.0,"{'browser_uniques': {'1_Month': '93.322', 'daily_avg': '3.495', 'mon_fri_avg': '3.073', 'sat_sun_avg': '4.709', 'pages_per_visit': '1,14', 'avg_visit_duration': '0:00:55', 'avg_interaction_time': '0:00:25'}, 'visits': {'1_Month': '115.786', 'daily_avg': '3.735', 'mon_fri_avg': '3.317', 'sat_sun_avg': '4.937'}, 'pages': {'1_Month': '132.527', 'daily_avg': '4.275', 'mon_fri_avg': '3.844', 'sat_sun_avg': '5.513'}}"
CASTELLONINFORMACION.COM,12004.0,"{'browser_uniques': {'1_Month': '62.136', 'daily_avg': '2.451', 'mon_fri_avg': '2.657', 'sat_sun_avg': '1.858', 'pages_per_visit': '1,25', 'avg_visit_duration': '0:01:32', 'avg_interaction_time': '0:00:43'}, 'visits': {'1_Month': '84.310', 'daily_avg': '2.720', 'mon_fri_avg': '2.955', 'sat_sun_avg': '2.043'}, 'pages': {'1_Month': '105.300', 'daily_avg': '3.397', 'mon_fri_avg': '3.676', 'sat_sun_avg': '2.594'}}"
CASTELLONOTICIES.COM,8221.0,"{'browser_uniques': {'1_Month': '9.806', 'daily_avg': '821', 'mon_fri_avg': '882', 'sat_sun_avg': '644', 'pages_per_visit': '1,49', 'avg_visit_duration': '0:02:04', 'avg_interaction_time': '0:02:39'}, 'visits': {'1_Month': '34.250', 'daily_avg': '1.105', 'mon_fri_avg': '1.199', 'sat_sun_avg': '834'}, 'pages': {'1_Month': '50.927', 'daily_avg': '1.643', 'mon_fri_avg': '1.761', 'sat_sun_avg': '1.303'}}"
CASTELLONPLAZA.COM,46002.0,"{'browser_uniques': {'1_Month': '241.198', 'daily_avg': '11.839', 'mon_fri_avg': '12.336', 'sat_sun_avg': '10.409', 'pages_per_visit': '1,83', 'avg_visit_duration': '0:03:30', 'avg_interaction_time': '0:01:18'}, 'visits': {'1_Month': '443.179', 'daily_avg': '14.296', 'mon_fri_avg': '14.965', 'sat_sun_avg': '12.374'}, 'pages': {'1_Month': '809.019', 'daily_avg': '26.097', 'mon_fri_avg': '26.903', 'sat_sun_avg': '23.782'}}"
CBNOTICIAS.COM,3110.0,"{'browser_uniques': {'1_Month': '2.532', 'daily_avg': '91', 'mon_fri_avg': '103', 'sat_sun_avg': '55', 'pages_per_visit': '1,46', 'avg_visit_duration': '0:01:15', 'avg_interaction_time': '0:00:30'}, 'visits': {'1_Month': '2.999', 'daily_avg': '97', 'mon_fri_avg': '110', 'sat_sun_avg': '59'}, 'pages': {'1_Month': '4.377', 'daily_avg': '141', 'mon_fri_avg': '162', 'sat_sun_avg': '82'}}"
