media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin
la fura,"Alt Penedès, Baix Penedès, Anoia, Garraf",,CAT,BCN,PENEDÈS,papel,Mitjans amb PGD,"Alt i Baix Penedès: Albinyana, L'Arboç, Avinyonet del Penedès,Banyeres del Penedès, Bellveí, La Bisbal del Penedès, Bonastre, Les Cabanyes, Calafell, Castellet i la Gornal, Castellví de la Marca, Cunit, Font-rubí, Gelida, La Granada, La Joncosa del Montmell (Montmell), Llorenç del Penedès, Masllorenç, Mediona, Olèrdola, Olesa de Bonesvalls, Pacs, El Pla del Penedès, Pontons, Puigdàlber, Sta Fe del Penedès, Santa Margarida i els Monjos, Sta Oliva, St Cugat Sesgarrigues, St Jaume dels Domenys, St Llorenç d'Hortons, St Martí Sarroca, St. Pere de Riudebitlles, St Quintí de Mediona, St Sadurní d'Anoia, Subirats, Torrelavit, Torrelles de Foix, el Vendrell, Vilafranca del Penedès, Vilobí del Penedès. Anoia: Cabrera d'Igualada (Cabrera d'Anoia), Capellades, els Hostalets de Pierola, La Llacuna, Masquefa, Piera, la Torre de Claramunt, Vallbona d'Anoia. Garraf: Canyelles, Cubelles, Olivella, St. Pere de Ribes i Vilanova i la Geltrú.",AMIC
la marina,Barcelona,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Barcelona: Zona Franca, La Marina, Sants, Hostafranc, La Bordeta, Gran Via Sud (L'Hospitalet).",AMIC
el nostre muro,Comunitat Valenciana_Alacant,,PV,AL,,papel,NO PGD,Muro de Alcoy,AMIC
la premsa del baix,Baix Llobregat,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Baix Llobregat: Castelldefels, Corbera de Llobregat, Cornellà de Llobregat, El Prat de Llobregat, Esplugues de Llobregat, Gavà, La Palma de Cervelló, Molins de Rei, Pallejà, Sant Boi de Llobregat, Sant Climent de Llobregat, Sant Feliu de Llobregat, Sant Joan Despí, Sant Just Desvern, Sant Vicenç dels Horts, Santa Coloma de Cervelló, Torrelles de Llobregat, Viladecans.",AMIC
"la torre de barcelona (ed. sarrià, sant gervasi i les corts)",Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Barcelonès: Sarrià, Sant Gervasi i Les Corts",AMIC
la torre de barcelona - oci i cultura familiar,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Eixample dret i esquerre,AMIC
el nostre xixona,Comunitat Valenciana _ Alacant,,PV,AL,,papel,NO PGD,Xixona,AMIC
canfali marina alta,Marina Alta,,PV,AL,,papel,,"Marina Alta: Dénia, Xabia, Calp, Teulada, Benissa, Pego, Pedreguer, Ondarra, Gata, El Verger, Benitatxell, Xaló, Els Poblets, Orba, Beniarbeig, Alcacalí, Benidoleig, Lliber, Parcent, Vall de Laguart, Sanet, Rafol d'Almunia, Adsubia, Senija, Vall de Gallinera, Benichembla, Murla, Castell de Castells, Benimeli, Sagra, Tormos, Vall d'Ebo i Vall d'Alcalà",AMIC
l'enllaç dels anoiencs,Anoia,,CAT,BCN,CC,papel,Mitjans amb PGD,"Anoia: Igualada, Vilanova del Camí, Sta. Margarida de Montbui, Òdena, La Pobla de Claramunt, Capellades, Carme, Vallbona, Piera, Els Hostalets de Pierola, El Bruc, Castellolí, Jorba, Copons, Els Prats de Rei, Calaf, La Llacuna, Bellprat, La Torre, Cabrera d'Anoia, Masquefa i Sant Martí de Tous.",AMIC
l'independent de gràcia,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelona: Districte Gràcia.,AMIC
línia ciutat vella,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de Ciutat Vella.,AMIC
línia cornellà,Baix Llobregat,,CAT,BCN,AMB,papel,Mitjans amb PGD,Baix Llobregat: Cornellà de Llobregat.,AMIC
línia eixample,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de l'Eixample.,AMIC
línia gràcia,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de Gràcia.,AMIC
línia horta,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de Horta i el Guinardò.,AMIC
linia les corts,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de Les Corts.,AMIC
línia l'hospitalet,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: L'Hospitalet de Llobregat.,AMIC
"línia mar (ed. baix llobregat _ castelldefels, gavà, viladecans i el prat)",Baix Llobregat,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Baix Llobregat: Castelldefels, Gavà, El Prat del Llobregat i Viladecans.",AMIC
línia mar (ed. baix maresme),Baix Marsme,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Baix Maresme: El Masnou, Premià de Mar, Vilassar de Mar, Alella, Teià, Premià de Dalt, Vilassar de Dalt, Cabrera, Cabrils ",AMIC
línia nord (ed. barcelonès),Barcelonès Nord,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Barcelonès: Badalona, Sant Adrià, Santa coloma, Tiana y Montgat.",AMIC
línia nord (ed. montserratí) _ abans: ed. baix llobregat,Baix Llobregat,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Baix Llobregat: Martorell, Olesa de Montserrat, Esparraguera, Abrera, Sant Esteve Sesrovires i Collbató.",AMIC
línia nou barris,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de Nou Barris.,AMIC
línia sant andreu,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Districte de Sant Andreu.,AMIC
línia sant martí,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelona: Districte Sant Martí.,AMIC
línia sants,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelona: Districte Sants i Les Corts.,AMIC
línia sarrià-sant gervasi,Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelona: Districte de Sarrià i Sant Gervassi.,AMIC
"línia tres (esplugues, st joan d, st just d)",Baix Llobregat,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Baix Llobregat: Esplugues del Llobregat, Sant Just Desvern i Sant Joan Despí.",AMIC
línia vallès (ed. vallès oriental),Vallès Oriental i Vallès Occidental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,"Vallès Oriental: Mollet, Granollers, Parets, La Llagosta, Montornès, Montmeló, Martorelles, Santa Maria de Martorelles, Vallromanes, Lliçà de Vall, Sant Fost de Campsentelles, Vilanova del Vallès, Cardedeu, Canovelles, La Roca, Les Franqueses, L'Ametlla, La Garriga, Lliçà d'Amunt. Vallès Occidental: Santa Perpètua de la Mogoda.",AMIC
línia vallès (ed. cerdanyola),Vallès Occidental,,CAT,BCN,V.OC,papel,Mitjans amb PGD,"Vallès Occidental: Cerdanyola del Vallès, Barberà del Vallès i Ripollet.",AMIC
llevant actualitat,Tarragonès,,CAT,TGN,C.TGN,papel,Mitjans amb PGD,Tarragonès: Tarragona,AMIC
