media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin
la borrufa,"Alt Urgell, Alta Ribagorça, Pallars Jussà, Pallars Sobirà, Vall d'Aran",,CAT,LL,PIRI,papel,NO PGD,"Alt Urgell: Adrall (Ribera d'Urgellet), Alàs i Cerc, Arsèguel, Castellciutat (La Seu d'Urgell), Bassella, Coll de Nargó, Estamariu, La Seu d'Urgell, Montferrer i Castellbò, Oliana, La Parroquia d'Hortó (Ribera d'Urgellet), El Pla de Sant Tirs (Ribera d'Urgellet) i Organyà, Alta Ribagorça: Barruera (La Vall de Boí), Boí (La Vall de Boí), Durro (La Vall de Boí), Erill la Vall (La Vall de Boí), Pla de l'Ermita (Vall de Boí), El Pont de Suert, Taüll (La Vall de Boí), Els Banys (El Pont de Bar) i Vilaller. Pallars Jussà: Cellers (Castell de Mur), Isona i Conca Dellà, La Pobla de Segur, Figuerola d'Orcau (Isona i Conca Dellà), La Plana de Mont-Ros (La Torre de Cabdella), La Pobleta de Bellvehí (La Torre de Cabdella), Salàs de Pallars, Senterada, Talarn, La Torre de Cabdella Vilamitjana (Tremp) i Tremp.  Pallars Sobirà: Ainet de Cardòs (Vall de Cardòs), Alins, Altron (Sort), Àreu (Alins), Baro (Soriguera), Esterri de Cardós, Farrera, La Guingueta (La Guingueta d'Àneu), Lladorre, Llavorsí, Llessui (Sort), Montardit (Sort), Olp (Sort), Rialp, Ribera de Cardós (Vall de Cardós), Rubió (Soriguera), Sort, Tírvia, Escalò (La Guingueta d'Àneu), Espot, Esterri d'Àneu, Gerri de la Sal (Baix Pallars), Peramea (Baix Pallars), Tavascan (Lladorre), València d'Àneu (Alt Àneu) i Vilamur (Soriguera) Val d'Aran: Arties (Naut Aran), Aubèrt (Vielha e Mijaran), Baquèira (Vielha e Mijaran), Bossòst, Es Bòrdes, Escunhau (Vielha e Mijaran), Salardú (Naut Aran), Tredòs (Naut Aran), Pont d'Arròs (Vielha) i Les (Val d'Aran). Segrià: Alcarràs i Lleida (Estació de Lleida). Barcelonès: Barcelona: (Estació del Nord i Palau Robert [of. Turisme Generalitat]). Baix Llobregat: Molins de Rei. Andorra: Andorra la Vella, Sant Julià, Escaldes, La Massana i Encamp.",AMIC
la guia de reus,Baix Camp,,CAT,TGN,C.TGN,papel,NO PGD,Baix Camp: Reus (Ciutat).,AMIC
la positiva,Barcelonès,,CAT,BCN,AMB,papel,NO PGD,Barcelonès: Barcelona ciutat,AMIC
la rella,"Lluçanès, Osona, Bages i Berguedà",,CAT,BCN,CC,papel,NO PGD,"Merlès, Prats de Lluçanès, Sant Feliu Sasserra, Oristà, La Torre, Santa Creu de Jutglars, Sant Martí d'Albars, Santa Eulàlia de Puig-oriol, Lluçà, Alpens, Sant Agustí de Lluçanès, Sant Boi de Lluçanès, Sobremunt, Perafita, Sant Bartomeu del Grau, Sant Quirze de Besora, Avinyò",AMIC
la veu d'alginet,Ribera Alta,,PV,VAL,,papel,Mitjans amb PGD,Ribera Alta: Alginet,AMIC
les mesures del pirineu,Alt Urgell i Cerdanya,,CAT,LL,PIRI,papel,NO PGD,"Alt Urgell: La Seu d'Urgell, Castellciutat (Seu Urgell), Montferrer i Castellbò, Aravell (Montferrer i Castellbò), Ribera d'Urgellet, Organyà, Coll de Nargó i Oliana. Cerdanya: Bellver, Martinet i Prullans.",AMIC
l'alzina,Vallès Occidental i Oriental,,CAT,BCN,V.OC,papel,NO PGD,Vallès Occidental: Palau-Solità i Plegamans. Vallès Oriental: centre de Caldes de Montbui,AMIC
l'ham,"Pla de l'Estany, Garrotxa",,CAT,GI,,papel,NO PGD,"Pla de l'Estany: Banyoles, Camós, Cornellà del Terri, Palol de Revardit, Porqueres, Sant Miquel de Campmajor, Serinyà, Vilademuls. Garrotxa: Besalú i Mieres.",AMIC
l’informatiu de palau-solità i plegamans,Vallès Oriental,,CAT,BCN,V.OR,papel,NO PGD,"Vallès Oriental: Palau-Solità i Plegamans, Caldes de Montbui, Sentmenat, Polinyà i Santa Perpètua.",AMIC
l'opinió l'hospitalet i baix llobregat,L'Hospitalet de Llobregat i Baix Llobregat,,CAT,BCN,AMB,papel,NO PGD,"Baix Llobregat: Begues, Castelldefels, Gavà, Viladecans, El Prat de Llobregat, Cornellà de Llobregat, Esplugues de Llobregat, Sant Just Desvern, Sant Joan Despí, Sant Feliu de Llobregat, Molins de Rei, Sant Boi de Llobregat, Torrelles de Llobregat, Sant Vicenç dels Horts, La Palma de Cervelló, Corbera de llobregat, Vallirana, Cervelló , Pallejà, Sant Andreu de la Barca i Martorell",AMIC
magazine lleida,Segrià,,CAT,LL,C.PONENT,papel,NO PGD,Segrià: Lleida ,AMIC
notícies del matarranya,"Matarranya, Baix Aragó, Els Ports i Terra Alta",,ARA,,,papel,NO PGD,"Matarranya: Arenys de Lledó, Beseit, Calaceit, Cretes, Fondespatla, Fórnols de Matarranya, La Freixneda, Lledó d'Algars, Massalió, Mont-roig de Tastavins, Pena-roja, La Portellada,  Ràfels, Torredarques, La Torre del Comte, La Vall de Tormo, Vall-de-roures i Valljunquera. Baix Aragó: Alcanyís. Els Ports: Morella. Terra Alta: Arnes i Horta de Sant Joan.",AMIC
nua,Menorca,,IB,MEM,,papel,NO PGD,"Menorca: Ciutadella, Ferreries, Es Mercadal, Es migjorn Gran, Alaior, Maó, Sant Lluís",AMIC
paral·lel oh!,Barcelonès,,CAT,BCN,AMB,papel,NO PGD,Barcelonès: Barcelona.,AMIC
"reclam la garrotxa""el 29""",Garrotxa ,,CAT,GI,,papel,NO PGD,"LES PLANES D'HOSTOLES - ST.FELIU DE PALLEROLS - ST.ESTEVE D'EN BAS- LES PRESES - OLOT - ST.JOAN LES FONTS-LA CANYA, CASTELLFOLLIT DE LA ROCA - ST.JAUME DE LLIERCA - BESALÚ",AMIC
respira comerç,El Ripollès,,CAT,GI,,papel,NO PGD,"Ripoll, Vallfogona de Ripollès, Sant Joan de les Abadesses, Ogassa, Sant Pau de Segúries, Camprodon, Molló, Llanars, Setcases, Campdevànol, Gombrèn, Campelles, Ribes de Freser, Queralbs, Campelles, Pardines, Planoles, Toses, les Llosses",AMIC
revista badalona 2000,Barcelonès,,CAT,BCN,AMB,papel,NO PGD,Barcelonès: Badalona.,AMIC
revista de vic,Osona,,CAT,BCN,CC,papel,NO PGD,Osona: Vic i rodalies.,AMIC
revista la ciutat,Tarragonès i Baix Camp,,CAT,TGN,C.TGN,papel,NO PGD,"Tarragonès: Tarragona, Reus, Salou i Vilaseca. Baix Camp: Cambrils",AMIC
revista mira'm,Alt Empordà i sud de França,,CAT,GI,,papel,NO PGD,"Alt Empordà: FALTA Reparteix tota la comarca. Sud França: El Pertús, Le Boulou i Perpinya.",AMIC
revista útil,Menorca,,IB,MEN,,papel,NO PGD,"Menora: Maó, Ciutadella, Alaior, Es Castell, Sant Lluís, Ferreries, Sant Climent, Es Migjorn i Es Mercadal",AMIC
ripollet al dia,Vallès Occidental,,CAT,BCN,V.OC,papel,NO PGD,Vallès Occidental: Ripollet.,AMIC
somiatruites,Illes Balears,,IB,MEN,,papel,NO PGD,Menorca,AMIC
territoris magazine,"Segrià, Pla d'Urgell, Noguera, Segarra i Urgell",,CAT,LL,C.PONENT,papel,NO PGD,"Segrià: Lleida (ciutat), Garrigues: Les Borges Blanques, Pla d'Urgell: Mollerussa, Noguera: Balaguer, Segarra: Cervera i Urgell: Tàrrega",AMIC
tot caldes de montbui,Vallès Oriental i Vallès Occidental,,CAT,BCN,V.OR,papel,NO PGD,"Vallès Oriental: Caldes de Montbui i rodalies, Sant Feliu de Codines. Vallès Occidental: Palau de Plegamans, Santa Perpètua de la Moguda i Setmenat.",AMIC
tot .... i més,Barcelonès i Maresme,,CAT,BCN,AMB,papel,NO PGD,Barcelonès: Badalona. Maresme: Tiana i Montgat.,AMIC
tothosap! garraf,Garraf,,CAT,BCN,PENEDÈS,papel,NO PGD,Garraf: totes les poblacions (demano),AMIC
tot molins,Baix Llobregat,,CAT,BCN,AMB,papel,NO PGD,"Baix Llobregat: Molins de Rei, Vallirana, Cervelló i Pallejà",AMIC
tot osona,"Osona, Ripollès, Garrotxa",,CAT,BCN,CC,papel,NO PGD,"Garrotxa: Olot (demano poblacions altres comarques => Balenyà, Calldetenes, Centelles, Espinelves, L'Esquirol, Folgueroles, Gurb, Malla, Manlleu, Masies de Roda, Masies de Voltregà, Montesquiu, Muntanyola, Olost, Orís, Perafita, Prats de Lluçanès, Ripoll, Roda de Ter, Rupit i Pruit,Sant Bartomeu del Grau, Sant Boi de Lluçanès, Sant Hipòlit de Voltregà, Sant Julià de Vilatorta, Sant Pere de Torelló, Sant Quirze de Besora, Sant Sadurní d'Osormort, Sant Vicenç de Torelló, Santa Eugènia de Berga, Santa Eulàlia de Riuprimer, Santa Maria de Besora, Seva, Sora, Taradell, Tavèrnoles, Tona, Torelló, Vic, Viladrau, Vilanova de Sau",AMIC
"tot temàtic (tot casa, tot salut i tot gastro)",Vallès Occidental,,CAT,BCN,V.OC,papel,NO PGD,"Vallès Occidental: Sant Cugat del Vallès, Rubí, Cerdanyola, Terrassa i Sabadell",AMIC
viure als pirineus,"Alt Urgell, Pallars Jussà i Cerdanya",,CAT,LL,PIRI,papel,NO PGD,"Alt Urgell: Oliana, Peramola, Coll de Nargó, Organyà, El Pla de Sant 
Tirs (Ribera d'Urgellet), Adrall (Ribera d'Urgellet), Montferrer-Castellbó, Calvinyà, La Seu d'Urgell. Cerdanya: Prullans, Bellver de Cerdanya, Montellà i Martinet, Alp, Urús, Puigcerdà i Llívia. Pallars Jussà: Tremp i Pobla de Segur.",AMIC
zona sec,Barcelonès,,CAT,BCN,AMB,papel,NO PGD,Barcelonès: Barcelona_ Barri del Poble-Sec,AMIC
l'alcudia 752,Ribera Alta (València),,PV,VAL,,papel,Mitjans amb PGD,Ribera Alta (València): L'Alcudia.,AMIC
el nostre bocairent,Comunitat Valenciana,,PV,VAL,,papel,NO PGD,Bocairent,AMIC
7setmanari de llevat,Comarca Llevant,,IB,MALL,,papel,,"TODA LA COMARCA DE MANACOR, PORTO CRISTO,SON CARRIO, SILLOT, SA COMA, SON MACIA , SAN LORENZO, SON SERVERA , CALAS DE MALLORCA Y CALA MILLOR ",AMIC
"al portal, veus de l'aguer",Sardenya,,SARDENYA,SARDENYA,SARDENYA_L'Alguer,papel,,Sardenya: L'Alguer,AMIC
ara balears,Menorca,,IB,MALL,,papel,,"Totes les localitats de Mallorca, Menorca, Eivissa i Formentera",AMIC
el nostre oliva,Comunitat Valenciana _ La Safor,,PV,VAL,,papel,NO PGD,Oliva,AMIC
cala millor 7,Illes Balears,,IB,MALL,,papel,,demano,AMIC
la veu d'algemesí,Ribera del Xúquer,,PV,VAL,,papel,NO PGD,Ribera del Xúquer: Algemesí,AMIC
"camacuc, revista per xiquets i xiquetes",Païssos Catalans,,PV,,,papel,,demano,AMIC
cent per cent,Mallorca,,IB,MALL,,papel,,"Manacor, Porto Cristo, Sant Llorenç, Son Carrió, Vilafranca, Petra i Sant Joan",AMIC
d ferreries,Menorca,,IB,MEN,,papel,,Menorca,AMIC
diari ara,Catalunya,,CAT,,,papel,,,AMIC
diari de girona,,,CAT,GI,,papel,,,AMIC
diari de sabadell,Vallès Occidental,,CAT,BCN,V.OC,papel,,Vallès Occidental: Sabadell,AMIC
diari de terrassa,Vallès Occidental,,CAT,BCN,V.OC,papel,,"Vallès Occidental: Terrassa, Matadepera, Viladecavalls, Vacarisses, Rellinars, Rubí, Sant Cugat, Olesa, Sabadell, Cerdanyola, Castellar del Vallès, Sant Quirze, Castellbisbal i Barcelona",AMIC
diari jornada,DEMANO,,CAT,,,papel,,DEMANO,AMIC
diari menorca,Menorca,,CAT,,,papel,,,AMIC
dona secret,DEMANO,,AD,,,papel,,DEMANO,AMIC
el 9 nou osona i el ripolles,Osona i Ripollès,,CAT,BCN,CC,papel,,no informació fitxa,AMIC
el 9 nou vallès oriental,Vallès Oriental,,CAT,BCN,V.OR,papel,,no informació fitxa,AMIC
el breny,Bages,,CAT,BCN,CC,papel,,Bages: Sant Vicenç de Castellet,AMIC
el gratis,,,PV,AL,,papel,,"Alcoià, Comtat, Vall d'Albaida, La Safor, La Costera, Les Marines i Alt Vinalopó",AMIC
el iris,Menorca,,IB,MEN,,papel,,"Ciutadella, Ferreries, Es Mercadal, Es Migjorn Gran, Fornells, Alaior, Maó, Sant Lluís i Es Castell",AMIC
el nostre ciutat,Comunitat Valenciana _ Alacant,,PV,AL,,papel,,"Alcoi, Cocentaina, Muro de Alcoy, Onil, Castalla, Ibi, Agres, Alicante, Banyeres de Mariola",AMIC
el periòdic d'andorra,"Principat, Cerdanya, l'Alt Urgell i els Pallars ",,AD,,,papel,,"mail 7/10/15 demano población i Arnau respon: Doncs imagino que tots els pobles que tenen llocs on venen diaris, però ja miro que em passin la llista. Pensa que anem junts amb EL Periódico i per tant és a tot arreu on es venen diaris ja que és el que té més difusió.",AMIC
el periòdic d'ontinyent,Comarca del Valle de Albaida,,PV,VAL,,papel,,"Comarca del Valle de Albaida: Ontinyent, Agullent, Albaida, Bocairent",AMIC
el saò,País Valencià,,PV,,,papel,,Tota la Comunitat Valenciana,AMIC
el temps,Païssos Catalans,,CAT,,,papel,,Païssos Catalans,AMIC
escaparate,Comunitat Valenciana,,PV,AL,,papel,,"Foia de Castalla: Ibi, Castalla, Onil, Tibi i Biar",AMIC
estil,Ribera Baixa,,PV,VAL,,papel,,"Ribera Baixa: Sueca, El Perelló i Mareny de Barraquetes",AMIC
la mañana,Lleida,,CAT,LL,C.PONENT,papel,,A tota Lleida,AMIC
la semaine du roussillon,Pirineus Orientals,,CAT,,,papel,,250 punts distribució Pirineus Orientals,AMIC
la traca,Comunitat Valenciana,,PV,,,papel,,,AMIC
la veu de l'anoia,Anoia,,CAT,BCN,CC,papel,,Anoia: Igualada,AMIC
la veu de l'anoia _ info preu 1/2 diba,,,,,,papel,,,AMIC
"las bandas periòdic de la música, les músiques i la cultura popular _ (pv)",Comunitat Valenciana,,PV,,,papel,,Totes de la Comunitat Valenciana,AMIC
l'eco de sitges,Garraf ,,CAT,BCN,,papel,,Garraf: Sitges i Sant Pere de Ribes,AMIC
loclar,València,,PV,VAL,,papel,,"València: Vall d'Albaida => Ontinyent, Bocairent i Agullent",AMIC
l'estel,Palma de Mallorca,,CAT,MALL,,papel,,Balears,AMIC
magazín la mira,no info fitxa,,CAT,,,papel,,no info fitxa,AMIC
manacor comarcal,Palma de Mallorca,,IB,MALL,,papel,,Palma de Mallorca: Manacor (demano punts de venda per saber si arriba a més llocs),AMIC
mel i sucre,Mallorca,,IB,MALL,,papel,,Mallorca: Sant Joan,AMIC
mil dimonis,Perpinyà,,CAT,,,papel,,Perpinyà,AMIC
montpeità,Bages,,CAT,BCN,CC,papel,,"Bages: Sant Fruitós, Navarcles i Manresa",AMIC
món sant cugat,Vallès Occidental,,CAT,BCN,V.OC,papel,,Vallès Occidental: Sant Cugat del Vallès.,AMIC
penedès econòmic,Alt Penedès,,CAT,BCN,PENEDÈS,papel,,Alt Penedès: ¿¿??,AMIC
periódico de ibiza y formentera,Eivissa i Formentera,,IB,EIV,,papel,,Illes Balears: Eivissa i Formentera,AMIC
portada.info,Comunitat Valenciana,,PV,AL,,papel,,"Comunitat Valenciana: Villena, Canyada, Biar, Camp de Mirra i Beneixama",AMIC
punt informatiu pollença,Palma de Mallorca,,IB,MALL,,papel,,Palma de Mallorca: Pollença,AMIC
regió 7,,,CAT,BCN,CC,papel,,,AMIC
revista cambrils,Baix Camp,,CAT,TGN,C.TGN,papel,,Baix Camp: Cambrils,AMIC
revista poble (pv),Comarca Plana Baixa de Castelló,,PV,CAST,,papel,,Comarca Plana Baixa de Castelló: Vila-Real (ciutat) i a la Comarca Plana Baixa de Castelló,AMIC
s'altra música,Illes Balears,,IB,MALL,,papel,,demano,AMIC
sa plaça,Nord de Mallorca,,IB,MALL,,papel,,"Mallorca: Alaró, Alcúdia, Binisalem, Búger, Campanet, Consell, Costitx, Inca Lloret de Vistalegre, Lloseta, Llubí, Manacor de la Vall, Maria de la Salut, Muro, Pollença, Sa Pobla, Santa Margalida, Serva i Sineu.",AMIC
sa veu,Mallorca (Serra de Tramuntana),,IB,MALL,,papel,,"Mallorca (Serra de Tramuntana): Sóller, Fornalutx, Deià, Escorca i Bunyola.",AMIC
setmanari informació comarcal notícies,"Els Ports, Maestrat, Plana de Castello",,PV,CAST,,papel,,demano,AMIC
setmanari sóller,Mallorca,,IB,MALL,,papel,,Mallorca,AMIC
semanario valle de elda,Alacant,,PV,AL,,papel,,Alacant: Elda i Petrer,AMIC
suheca,Ribera Baixa,,PV,VAL,,papel,,"Ribera Baixa: Sueca, El Perelló i Mareny de Barraquetes",AMIC
top girona,Gironés,,CAT,GI,,papel,,Demarcació de Girona,AMIC
tucomarca.com,València,,PV,VAL,,papel,,"València: Alborache, Buñol, Cheste, Chiva, Cortes de Pallás, Dos Aguas, Godelleta, Millares, Macastre, Siete Aguas, Turis i Yátova",AMIC
vallespir,Catalunya Nord,,CAT,CATNORD,VALLESPIR,papel,,,AMIC
