media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin,media_iber,active_iber,url_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber
catalunyapress.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,catalunya press,True,catalunyapress.cat,"Ronda Universitat 12, 7ª Planta -08007 Barcelona",8007.0,41.3865643,2.166938,web,Barcelona,CAT
elcritic.cat,Països catalans,OJD,CAT,CAT,,digital,,,AMIC,crític,True,elcritic.cat,"Casp, 43 de Barcelona, 08010",8010.0,41.3920594,2.1739426,"print, web",Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,el món,True,elmon.cat,"Passeig de Gràcia 16, 1er 3ª - 08007 Barcelona",8007.0,41.389454,2.1689521,web,Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,mónplaneta,True,elmon.cat,"Consell de Cent, 322 08007 Barcelona",8007.0,41.3920747,2.1671796,web,Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,món terrassa,True,elmon.cat,"Carrer de la Font Vella 7-9, 2n 2a 08221 Terrassa",8221.0,41.5624644,2.0116236,web,Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,tot rubí,False,elmon.cat,"Sant Antoni, 42-44 - Sant Cugat del Vallès, Barcelona - 08172",8172.0,41.4699731,2.0836809,web,Barcelona,CAT
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,vadevi.cat,True,elmon.cat,"Sant Antoni, 42 08172 Sant Cugat del Vallès (Barcelona)",8172.0,41.4687335,2.0790992,web,Barcelona,CAT
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
