ID,Origin,media,url,zipcode_iber,zipcode_cac
108,"AMIC, OJD",tdbactualitat,tdbactualitat.cat,,
109,"AMIC, OJD",totcerdanyola,totcerdanyola.cat,,
110,"AMIC, OJD",totrubi,totrubi.cat,,
111,"AMIC, OJD",laveudelsllibres,laveudelsllibres.cat,,
113,"AMIC, OJD",7diesactualitat,7diesactualitat.com,,
114,"AMIC, OJD",monplaneta,monplaneta.cat,,
115,"AMIC, OJD",viasona,viasona.cat,,
116,"AMIC, OJD",uepmallorca,uepmallorca.app,,
118,"AMIC, OJD",lasbandasdemusica,lasbandasdemusica.com,,
119,"AMIC, OJD",elmondelatele,elmondelatele.cat,,
120,"AMIC, OJD",periodicontinyent,periodicontinyent.com,,
121,"AMIC, OJD",castello24,castello24.com,,
122,"AMIC, OJD",foravila,foravila.net,,
123,"AMIC, OJD",balearsvadevi,balearsvadevi.cat,,
125,"AMIC, OJD",digitalmanacor,digitalmanacor.com,,
126,"AMIC, OJD",eliris,eliris.cat,,
127,"AMIC, OJD",mallorcadiario,mallorcadiario.com,,
128,"AMIC, OJD",menorcaaldia,menorcaaldia.com,,
129,"AMIC, OJD",menorca,menorca.info,,
130,"AMIC, OJD",palmesana,palmesana.com,,
131,"AMIC, OJD",revista07500,revista07500.com,,
132,"AMIC, OJD",ultimahora,ultimahora.es,,
133,"AMIC, OJD",firesifestes,firesifestes.es,,
134,"AMIC, OJD",alicantextra,alicantextra.com,,
135,"AMIC, OJD",castellonoticies,castellonoticies.com,,
137,"AMIC, OJD",revistapoble,revistapoble.net,,
138,"AMIC, OJD",revistasao,revistasao.cat,,
139,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,,
140,"AMIC, OJD",diariandorra,diariandorra.ad,,
141,"Iberfier, OJD",aldia.cat,aldia.cat,28046,
142,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002,
143,"Iberfier, OJD",betera.com,betera.com,46117,
144,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190,
145,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002,
146,"Iberfier, OJD",catalunya diari,catalunyadiari.com,43201,
147,"Iberfier, OJD",catorze,catorze.cat,08012,
148,"Iberfier, OJD",comarcal cv,comarcalcv.com,46020,
149,"Iberfier, OJD",cugat.cat,cugat.cat,08172,
150,"Iberfier, OJD",cuina,cuina.cat,08014,
151,"Iberfier, OJD",dénia.com,denia.com,03700,
152,"Iberfier, OJD",descobrir,descobrir.cat,17005,
153,"Iberfier, OJD",diari digital,diaridigital.es,46800,
154,"Iberfier, OJD",diario de alicante,diariodealicante.net,03002,
155,"Iberfier, OJD",directa,directa.cat,08014,
156,"Iberfier, OJD",el meridiano l'horta,elmeridiano.es,46023,
157,"Iberfier, OJD",elperiodic.com,elperiodic.com,35215,
158,"Iberfier, OJD",empordà info,emporda.info,17600,
159,"Iberfier, OJD",golsmedia,golsmedia.com,46001,
160,"Iberfier, OJD",infotúria,infoturia.com,46183,
161,"Iberfier, OJD",la república,larepublica.cat,08014,
162,"Iberfier, OJD",la veu de lliria,laveudelliria.com,46160,
163,"Iberfier, OJD",lleida diari,lleidadiari.cat,25001,
164,"Iberfier, OJD",manresa diari,manresadiari.cat,08240,
165,"Iberfier, OJD",noticias comunitat valenciana,noticiascv.com,,
166,"Iberfier, OJD",nova tàrrega,novatarrega.cat,25300,
167,"Iberfier, OJD",página 66,pagina66.com,03803,
168,"Iberfier, OJD",radio esport valencia,radioesport914.com,46035,
169,"Iberfier, OJD",rubí tv,rubitv.cat,08191,
170,"Iberfier, OJD",sapiens,sapiens.cat,08014,
171,"Iberfier, OJD",social,social.cat,08402,
172,"Iberfier, OJD",som granollers,somgranollers.cat,08100,
173,"Iberfier, OJD",som mollet,sommollet.cat,08100,
174,"Iberfier, OJD",som montmeló,sommontmelo.cat,08100,
175,"Iberfier, OJD",som montornès,sommontornes.cat,08100,
176,"Iberfier, OJD",som vallés,somvalles.cat,08100,
177,"Iberfier, OJD",territoris,territoris.cat,25230,
178,"Iberfier, OJD",tva,tv-a.es,03802,
179,"Iberfier, OJD",valència diari,valenciadiari.com,46007,
181,"Iberfier, OJD",valencia noticias,valencianoticias.com,46008,
182,"Iberfier, OJD",valencia plaza,valenciaplaza.com,46002,
183,"Iberfier, OJD",valors,valors.org,08301,
184,"Iberfier, OJD",viu molins de rei,viumolinsderei.com,08750,
185,"Iberfier, OJD",xtradio,xtradio.es,46800,
210,"AMIC, Iberfier, OJD",viaempresa,viaempresa.cat,08172,
211,"AMIC, Iberfier, OJD",ara,ara.cat,08015,
216,"AMIC, Iberfier, OJD",catalunyapress,catalunyapress.cat,08007,
217,"AMIC, Iberfier, OJD",capgros,capgros.com,08172,
218,"AMIC, Iberfier, OJD",diarimes,diarimes.com,43003,
219,"AMIC, Iberfier, OJD",laciutat,laciutat.cat,43004,
220,"AMIC, Iberfier, OJD",catalunyamagrada,catalunyamagrada.cat,08172,
221,"AMIC, Iberfier, OJD",segre,segre.com,25005,
223,"AMIC, Iberfier, OJD",aguaita,aguaita.cat ,08007,
224,"AMIC, OJD",elnostreciutat,elnostreciutat.com (elnostreperiodic.com),,
225,"AMIC, OJD",noticiasmarinaalta,noticiasmarinaalta.es ,,
226,"AMIC, OJD",espai,espai.media,,
227,"AMIC, OJD",el9nou,el9nou.cat ,,
229,"AMIC, OJD",lasrepublicas,lasrepublicas.com ,,
230,"AMIC, OJD",catalunyaplural,catalunyaplural.cat ,,
231,"AMIC, OJD",larepublica,larepublica.cat ,,
233,"AMIC, OJD",xcatalunya,xcatalunya.cat,,
234,"AMIC, OJD",lleidadiari,lleidadiari.cat ,,
235,"AMIC, OJD",manresadiari,manresadiari.cat ,,
236,"AMIC, OJD",rubitv,rubitv.cat (grup naciodigital),,
237,"AMIC, OJD",somvalles,somvalles.cat ,,
238,"AMIC, OJD",tarragona21,tarragona21.com ,,
239,"AMIC, OJD",territorirural,territorirural.cat (monrural.cat),,
240,"AMIC, OJD",audio,audio.cat    (tirabol),,
241,"AMIC, OJD",diariodemallorca,diariodemallorca.es (P.Iberica),,
242,"AMIC, OJD",tucomarca,tucomarca.com ,,
243,"AMIC, OJD",elsoller,elsoller.cat  ,,
245,"AMIC, OJD",diarilaveu,diarilaveu.cat (nosaltreslaveu.com),,
247,"AMIC, OJD",elperiodic,elperiodic.ad,,
248,"Iberfier, OJD",el punt avui,elpuntavui.cat,17005,
2471,"Iberfier, CAC",emun fm ràdio,emunfmradio.cat,,25126
2472,"Iberfier, CAC",ràdio vallromanes,radio.vallromanes.cat,08188,08188
2473,"Iberfier, CAC",solsona fm,solsonafm.media,,25280
2474,"Iberfier, CAC",alpicat ràdio,alpicatradio.com,25110,25110
2475,"Iberfier, CAC",altafulla ràdio,altafullaradio.cat,43893,43893
2476,"Iberfier, CAC",amposta ràdio,amposta.cat,43870,43870
2477,"Iberfier, CAC",antena aldaia,antenaaldaia.com,46960,43896
2478,"Iberfier, CAC",antena caro,antenacaro.cat,43520,43520
2479,"Iberfier, CAC",canal 10 empordà,canal10.cat,17130,17130
2480,"Iberfier, CAC",canal blau,canalblau.cat,08800,08800
2481,"Iberfier, CAC",constantí ràdio,constantiradio.cat,43120,43120
2482,"Iberfier, CAC",cope barcelona,cope.es,08007,08099
2483,"Iberfier, CAC",digital hits fm,digitalhits.cat,08206,"08026, 08206, 08809"
2488,"Iberfier, CAC",el prat ràdio,elpratradio.com,08820,08820
2489,"Iberfier, CAC",flaix fm,flaixfm.cat,08007,"08007, 08391"
2498,"Iberfier, CAC",gum fm,gumfm.com,25530,
2500,"Iberfier, CAC",imagina ràdio,imaginaradio.com,43500,43500
2501,"Iberfier, CAC",la sénia ràdio,laseniaradio.cat,,43560
2502,"Iberfier, CAC",la plana ràdio,laplanaradio.cat,13570,43570
2503,"Iberfier, CAC",la veu de navàs,laveudenavas.navas.cat,,08670
2504,"Iberfier, CAC",llagostera ràdio,llagosteraradio.cat,17240,17240
2505,"Iberfier, CAC",mataró ràdio,mataroradio.cat,08302,08302
2506,"Iberfier, CAC",nova ràdio lloret,novaradiolloret.org,17310,17310
2507,"Iberfier, CAC",olot televisió,olot.tv,17800,17800
2508,"Iberfier, CAC",ona codinenca,onacodinenca.cat,08182,08182
2509,"Iberfier, CAC",ona la torre,ona-latorre.cat,43830,43830
2510,"Iberfier, CAC",rac 1,rac1.org,08036,08036
2531,"Iberfier, CAC",rac 105,rac105.cat,08036,08036
2546,"Iberfier, CAC",ràdio abrera,radioabrera.cat,08630,08630
2547,"Iberfier, CAC",ràdio arenys,radioarenys.cat,08350,08350
2548,"Iberfier, CAC",ràdio arenys de munt,radioarenysmunt.cat,08358,08358
2549,"Iberfier, CAC",ràdio argentona,argentona.cat,08310,08310
2550,"Iberfier, CAC",ràdio balsareny,radiobalsareny.org,08660,08660
2551,"Iberfier, CAC",ràdio banyoles,Radiobanyoles.cat,17820,17820
2552,"Iberfier, CAC",ràdio blanes,radioblanes.cat,17300,17300
2553,"Iberfier, CAC",ràdio cabrera,audiovisualcabrera.net,08349,08349
2554,"Iberfier, CAC",ràdio caldes,radiocaldes.cat,08140,08140
2555,"Iberfier, CAC",ràdio canet,radiocanet.cat,08360,08360
2556,"Iberfier, CAC",ràdio cap de creus,radiocapdecreus.radiostream321.com,17488,17488
2557,"Iberfier, CAC",ràdio capellades,radiocapellades.net,08786,08786
2558,"Iberfier, CAC",ràdio cassà,radiocassa.cat,17244,17244
2559,"Iberfier, CAC",ràdio castelldefels,radiocastelldefels.org,08860,08860
2560,"Iberfier, CAC",ràdio celrà,radio.celra.cat,17460,17460
2561,"Iberfier, CAC",ràdio cornellà,radiocornella.cat,08940,08940
2562,"Iberfier, CAC",ràdio cubelles,radiocubelles.cat,08880,08880
2563,"Iberfier, CAC",ràdio cunit,radiocunit.cat,43881,43881
2564,"Iberfier, CAC",ràdio desvern,radiodesvern.com,08960,08960
2565,"Iberfier, CAC",ràdio dos 84,radiodos84.com,17450,17450
2566,"Iberfier, CAC",ràdio estel,radioestel.com,08014,08014
2577,"Iberfier, CAC",ràdio falset,radiofalset.cat,43730,43730
2578,"Iberfier, CAC",ràdio flaixbac,radioflaixbac.cat,08007,"08007, 08391"
2591,"Iberfier, CAC",ràdio flix,radioflix.cat,,43750
2592,"Iberfier, CAC",ràdio gavà,radiogava.cat,08850,08840
2593,"Iberfier, CAC",ràdio gelida,radiogelida.cat,08790,08790
2594,"Iberfier, CAC",ràdio granollers,emisora.org.es,08401,08400
2595,"Iberfier, CAC",ràdio igualada,radioigualada.cat,08700,08700
2596,"Iberfier, CAC",ràdio la vall,radiolavall.cat,17178,17178
2597,"Iberfier, CAC",ràdio les borges,radiolesborges.cat,25400,25400
2598,"Iberfier, CAC",ràdio l'escala,radiolescala.cat,17130,17130
2599,"Iberfier, CAC",ràdio les planes,radiolesplanes.com,17172,17172
2600,"Iberfier, CAC",ràdio llavaneres,radiollavaneres.cat,08392,08392
2601,"Iberfier, CAC",ràdio manlleu,radiomanlleu.cat,08560,08560
2602,"Iberfier, CAC",ràdio maricel,radiomaricel.cat,08870,08870
2603,"Iberfier, CAC",ràdio marina,radiomarina.com,17003,17300
2605,"Iberfier, CAC",ràdio masquefa,miratv.cat,,08783
2606,"Iberfier, CAC",ràdio molins de rei,radiomolinsderei.cat,08750,08750
2607,"Iberfier, CAC",ràdio montblanc,radiomontblanc.cat,43400,43400
2608,"Iberfier, CAC",ràdio montgrí,radiomontgri.com,17257,17257
2609,"Iberfier, CAC",ràdio montornès,radio.montornes.cat,08170,08170
2610,"Iberfier, CAC",ràdio ona,radioona.com,08570,08570
2611,"Iberfier, CAC",ràdio palafolls,radiopalafolls.cat,08389,08389
2612,"Iberfier, CAC",ràdio palafrugell,radiopalafrugell.cat,17200,17200
2613,"Iberfier, CAC",ràdio palamós,palamoscomunicacio.cat,17230,17230
2614,"Iberfier, CAC",ràdio pineda,radiopineda.com,08397,08397
2615,"Iberfier, CAC",ràdio pista,radiopista.cat,08550,08550
2616,"Iberfier, CAC",ràdio premià de mar,radiopremiademar.org,08330,08330
2617,"Iberfier, CAC",ràdio puig-reig,radiopuig-reig.net,08692,08692
2618,"Iberfier, CAC",ràdio ràpita,enacast.com,43540,43540
2619,"Iberfier, CAC",ràdio rosselló,radiorossello.radiostream321.com,25124,25124
2620,"Iberfier, CAC",ràdio rubí,radiorubi.fm,,08191
2621,"Iberfier, CAC",ràdio sallent,radiosallent.cat,08650,08650
2622,"Iberfier, CAC",ràdio sant andreu,radiosantandreu.com,08740,08740
2623,"Iberfier, CAC",ràdio sant boi,radiosantboi.cat,08830,08830
2624,"Iberfier, CAC",ràdio sant cebrià,radiosantcebria.cat,08396,08396
2625,"Iberfier, CAC",ràdio sant feliu,rsf.cat,17220,"08980, 17220"
2627,"Iberfier, CAC",ràdio sant hilari,radiosanthilari.com,17403,17403
2628,"Iberfier, CAC",ràdio sant joan,rsj.cat,17857,"08250, 17857"
2630,"Iberfier, CAC",ràdio sant quirze,radiosantquirze.cat,08192,08192
2631,"Iberfier, CAC",ràdio sant sadurní,radiosantsadurni.wordpress.com,08770,08770
2632,"Iberfier, CAC",ràdio sarrià,radio.sarriadeter.cat,17840,17840
2633,"Iberfier, CAC",ràdio silenci,radiosilenci.cat,08530,08530
2634,"Iberfier, CAC",ràdio súria,radiosuria.cat,08260,08260
2635,"Iberfier, CAC",ràdio taradell,radiotaradell.com,08552,08552
2636,"Iberfier, CAC",ràdio tiana,lalocal.tianat.cat,08391,08391
2637,"Iberfier, CAC",ràdio tordera,radiotordera.cat,08490,08490
2638,"Iberfier, CAC",ràdio tortosa,radiotortosa.cat,43500,43500
2639,"Iberfier, CAC",ràdio vic,radiovic.cat,08500,08500
2640,"Iberfier, CAC",ràdio vilablareix,radiovilablareix.cat,17180,17180
2641,"Iberfier, CAC",ràdio vilafant,radiovilafant.net,17740,17740
2642,"Iberfier, CAC",ràdio vila-sacra,radiovila-sacra.cat,17485,17485
2643,"Iberfier, CAC",ràdio vitamènia,radiovitamenia.wordpress.com,08460,08460
2644,"Iberfier, CAC",ràdio voltregà,radiovoltrega.com,08512,08512
2645,"Iberfier, CAC",ser catalunya,cadenaser.com,08010,"08010, 08099, 17230, 17800, 25007, 25230, 27005, 43000"
2658,"Iberfier, CAC",tarragona ràdio,tarragonaradio.cat,43005,43005
2659,"Iberfier, CAC",vallès visió,vallesvisio.cat,08100,08100
2660,"AMIC, Iberfier",sies,sies.tv,17001,
2661,"AMIC, Iberfier",revistamirall,revistamirall.com,08014,
2662,"AMIC, Iberfier",donesdigital,donesdigital.cat,08007,
2663,"AMIC, Iberfier",regio7,regio7.cat,08240,
2664,"AMIC, Iberfier",penedeseconomic,penedeseconomic.com,08720,
2665,"AMIC, Iberfier",naciodigital,naciodigital.cat,08007,
2761,"AMIC, Iberfier",gerio,gerio.cat,17190,
2762,"AMIC, Iberfier",isabadell,isabadell.cat,08201,
2763,"AMIC, Iberfier",lleida,lleida.com,25008,
2764,"AMIC, Iberfier",rctgn,rctgn.cat,43001,
2765,"AMIC, Iberfier",totbarcelona,totbarcelona.cat,08007,
2766,"AMIC, Iberfier",amartorell,amartorell.com,"08760, 08783",
2768,"AMIC, Iberfier",canalreustv,canalreustv.cat,43204,
2769,"AMIC, Iberfier",canalte,canalte.cat,43500,
2770,"AMIC, Iberfier",castellvilarenc,castellvilarenc.info,08296,
2771,"AMIC, Iberfier",cerdanyolaaldia,cerdanyolaaldia.com,08290,
2772,"AMIC, Iberfier",diaridebadalona,diaridebadalona.com,08912,
2773,"AMIC, Iberfier",diarieljardi,diarieljardi.cat,08034,
2774,"AMIC, Iberfier",diarisantquirze,diarisantquirze.cat,08192,
2775,"AMIC, Iberfier",elbaix,elbaix.cat,08980,
2776,"AMIC, Iberfier",gava,gava.info,"08850, 28006",
2778,"AMIC, Iberfier",independent,independent.cat,08012,
2780,"AMIC, Iberfier",laclau,laclau.cat,08340,
2781,"AMIC, Iberfier",latorredebarcelona,latorredebarcelona.com,08024,
2782,"AMIC, Iberfier",montpeita,montpeita.cat,08272,
2783,"AMIC, Iberfier",revistaderipollet,revistaderipollet.cat,08291,
2784,"AMIC, Iberfier",santboidiari,santboidiari.com,08750,
2785,"AMIC, Iberfier",tasta,tasta.cat,08600,
