media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
gastronomicament,Mallorca,,gastronomicament.cat,IB,IB,ma,digital,,,"AMIC, Iberfier, OJD",True,"Marian Aguiló 11 3A, 07005 Palma de Mallorca, Espanya",7005,39.5769055,2.661576,web,Illes Balears,IB,,,,,,Noticias e Información,Noticias de interés especial,146.0
diaridelmaestrat,València,,diaridelmaestrat.com,PV,PV,cast,digital,,,"AMIC, Iberfier, OJD",True,"San Francisco, 125, 12500 Vinaròs (Castellón)",12500,40.467346,0.4704783,web,Castellón/Castelló,PV,,,,,,Noticias e Información,Noticias globales y actualidad,5851.0
eltemps,Pais Valencià,,eltemps.cat,PV,PV,,digital,,,"AMIC, Iberfier, OJD",True,"Octubre Centre de Cultura Contemporània  de Sant Ferran, 12 - 46001 - València ",46001,39.4729986,-0.3770216,"print, web",Valencia/València,PV,,,,,,Noticias e Información,Noticias globales y actualidad,1568.0
eltemps,Pais Valencià,,eltemps.cat,PV,PV,,digital,,,"AMIC, Iberfier, OJD",True,"Octubre Centre de Cultura Contemporània  de Sant Ferran, 12 - 46001 - València ",46001,39.4729986,-0.3770216,"print, web",Valencia/València,PV,,,,,,Notícies i Informació,Notícies globals i actualitat,1568.0
meseconomia,Catalunya,OJD,meseconomia.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Caballero, 65 - Barcelona 08014",8014,41.3832889,2.136604,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,14.0
elcritic,Països catalans,OJD,elcritic.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Casp, 43 de Barcelona, 08010",8010,41.3920594,2.1739426,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,1984.0
elmon,Catalunya,OJD,elmon.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Passeig de Gràcia 16, 1er 3ª - 08007 Barcelona",8007,41.389454,2.1689521,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,47864.0
elmon,Catalunya,OJD,elmon.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Consell de Cent, 322 08007 Barcelona",8007,41.3920747,2.1671796,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,47864.0
elmon,Catalunya,OJD,elmon.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Carrer de la Font Vella 7-9, 2n 2a 08221 Terrassa",8221,41.5624644,2.0116236,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,47864.0
elmon,Catalunya,OJD,elmon.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",False,"Sant Antoni, 42-44 - Sant Cugat del Vallès, Barcelona - 08172",8172,41.4699731,2.0836809,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,47864.0
elmon,Catalunya,OJD,elmon.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Sant Antoni, 42 08172 Sant Cugat del Vallès (Barcelona)",8172,41.4687335,2.0790992,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,47864.0
anoiadiari,Anoia,OJD,anoiadiari.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,"Carrer del Rec, 15, 08700 Igualada, Barcelona",8700,41.5766221,1.6126029,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,735.0
aquibergueda,"Berguedà, Bages Nord, Solsonès Oest",OJD,aquibergueda.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,Carrer Bruc 3 08600 Berga,8600,42.0982146,1.840687,"print, app, radio, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,3718.0
balaguer,Balaguer,OJD,balaguer.tv,CAT,L,,digital,,,"AMIC, Iberfier, OJD",True,"d'Urgell, 17, 25600 Balaguer, Lleida, España",25600,41.792807,0.8117045,"tv, app, web",Lleida,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,220.0
comarquesdeponent,comarques de Ponent,OJD,comarquesdeponent.com,CAT,L,,digital,,,"AMIC, Iberfier, OJD",True,"Avenida de Catalunya, 65. 25300 TÀRREGA.",25300,41.6473385,1.1341522,"print, web",Lleida,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,381.0
comarquesnord," Sud Tarragona, : comarques dels Ports i el Maestrat (al nord del País Valencià) i del Matarranya (al sud de Terol)",OJD,comarquesnord.cat,CAT,T,,digital,,,"AMIC, Iberfier, OJD",True,"Tint, 9, 12300  Morella - Castellón",12300,40.6199107,-0.0982941,"radio, print, tv, web",Castellón/Castelló,PV,,,,,,Noticias e Información,Noticias globales y actualidad,185.0
comarquesnord," Sud Tarragona, : comarques dels Ports i el Maestrat (al nord del País Valencià) i del Matarranya (al sud de Terol)",OJD,comarquesnord.cat,CAT,T,,digital,,,"AMIC, Iberfier, OJD",True,"Tint, 9, 12300  Morella - Castellón",12300,40.6199107,-0.0982941,"radio, print, tv, web",Castellón/Castelló,PV,,,,,,Notícies i Informació,Notícies globals i actualitat,185.0
