ID,Origin,media,url,zipcode_iber,zipcode_cac
93,"AMIC, OJD",totcerdanyola,totcerdanyola.cat,,
94,"AMIC, OJD",totrubi,totrubi.cat,,
95,"AMIC, OJD",laveudelsllibres,laveudelsllibres.cat,,
96,"AMIC, OJD",7diesactualitat,7diesactualitat.com,,
97,"AMIC, OJD",monplaneta,monplaneta.cat,,
98,"AMIC, OJD",viasona,viasona.cat,,
99,"AMIC, OJD",uepmallorca,uepmallorca.app,,
100,"AMIC, OJD",lasbandasdemusica,lasbandasdemusica.com,,
101,"AMIC, OJD",elmondelatele,elmondelatele.cat,,
102,"AMIC, OJD",periodicontinyent,periodicontinyent.com,,
103,"AMIC, OJD",castello24,castello24.com,,
104,"AMIC, OJD",foravila,foravila.net,,
105,"AMIC, OJD",balearsvadevi,balearsvadevi.cat,,
106,"AMIC, OJD",digitalmanacor,digitalmanacor.com,,
107,"AMIC, OJD",eliris,eliris.cat,,
108,"AMIC, OJD",mallorcadiario,mallorcadiario.com,,
109,"AMIC, OJD",menorcaaldia,menorcaaldia.com,,
110,"AMIC, OJD",menorca,menorca.info,,
111,"AMIC, OJD",palmesana,palmesana.com,,
112,"AMIC, OJD",revista07500,revista07500.com,,
113,"AMIC, OJD",ultimahora,ultimahora.es,,
114,"AMIC, OJD",firesifestes,firesifestes.es,,
115,"AMIC, OJD",alicantextra,alicantextra.com,,
116,"AMIC, OJD",castellonoticies,castellonoticies.com,,
117,"AMIC, OJD",revistapoble,revistapoble.net,,
118,"AMIC, OJD",revistasao,revistasao.cat,,
119,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,,
120,"AMIC, OJD",diariandorra,diariandorra.ad,,
121,"Iberfier, OJD",aldia.cat,aldia.cat,28046,
122,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002,
123,"Iberfier, OJD",betera.com,betera.com,46117,
124,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190,
125,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002,
126,"Iberfier, OJD",catalunya diari,catalunyadiari.com,43201,
127,"Iberfier, OJD",catorze,catorze.cat,08012,
128,"Iberfier, OJD",comarcal cv,comarcalcv.com,46020,
129,"Iberfier, OJD",cugat.cat,cugat.cat,08172,
130,"Iberfier, OJD",cuina,cuina.cat,08014,
131,"Iberfier, OJD",dénia.com,denia.com,03700,
132,"Iberfier, OJD",descobrir,descobrir.cat,17005,
133,"Iberfier, OJD",diari digital,diaridigital.es,46800,
134,"Iberfier, OJD",diario de alicante,diariodealicante.net,03002,
135,"Iberfier, OJD",directa,directa.cat,08014,
136,"Iberfier, OJD",el meridiano l'horta,elmeridiano.es,46023,
137,"Iberfier, OJD",elperiodic.com,elperiodic.com,35215,
138,"Iberfier, OJD",empordà info,emporda.info,17600,
139,"Iberfier, OJD",golsmedia,golsmedia.com,46001,
140,"Iberfier, OJD",infotúria,infoturia.com,46183,
141,"Iberfier, OJD",la república,larepublica.cat,08014,
142,"Iberfier, OJD",la veu de lliria,laveudelliria.com,46160,
143,"Iberfier, OJD",lleida diari,lleidadiari.cat,25001,
144,"Iberfier, OJD",manresa diari,manresadiari.cat,08240,
145,"Iberfier, OJD",noticias comunitat valenciana,noticiascv.com,,
146,"Iberfier, OJD",nova tàrrega,novatarrega.cat,25300,
147,"Iberfier, OJD",página 66,pagina66.com,03803,
148,"Iberfier, OJD",radio esport valencia,radioesport914.com,46035,
149,"Iberfier, OJD",rubí tv,rubitv.cat,08191,
150,"Iberfier, OJD",sapiens,sapiens.cat,08014,
151,"Iberfier, OJD",social,social.cat,08402,
152,"Iberfier, OJD",som granollers,somgranollers.cat,08100,
153,"Iberfier, OJD",som mollet,sommollet.cat,08100,
154,"Iberfier, OJD",som montmeló,sommontmelo.cat,08100,
155,"Iberfier, OJD",som montornès,sommontornes.cat,08100,
156,"Iberfier, OJD",som vallés,somvalles.cat,08100,
157,"Iberfier, OJD",territoris,territoris.cat,25230,
158,"Iberfier, OJD",tva,tv-a.es,03802,
159,"Iberfier, OJD",valència diari,valenciadiari.com,46007,
160,"Iberfier, OJD",valencia noticias,valencianoticias.com,46008,
161,"Iberfier, OJD",valencia plaza,valenciaplaza.com,46002,
162,"Iberfier, OJD",valors,valors.org,08301,
163,"Iberfier, OJD",viu molins de rei,viumolinsderei.com,08750,
164,"Iberfier, OJD",xtradio,xtradio.es,46800,
165,"AMIC, Iberfier, OJD",viaempresa,viaempresa.cat,08172,
166,"AMIC, Iberfier, OJD",ara,ara.cat,08015,
167,"AMIC, Iberfier, OJD",catalunyapress,catalunyapress.cat,08007,
168,"AMIC, Iberfier, OJD",capgros,capgros.com,08172,
169,"AMIC, Iberfier, OJD",diarimes,diarimes.com,43003,
170,"AMIC, Iberfier, OJD",laciutat,laciutat.cat,43004,
171,"AMIC, Iberfier, OJD",catalunyamagrada,catalunyamagrada.cat,08172,
172,"AMIC, Iberfier, OJD",segre,segre.com,25005,
173,"AMIC, Iberfier, OJD",aguaita,aguaita.cat ,08007,
174,"AMIC, OJD",elnostreciutat,elnostreciutat.com (elnostreperiodic.com),,
175,"AMIC, OJD",noticiasmarinaalta,noticiasmarinaalta.es ,,
176,"AMIC, OJD",espai,espai.media,,
177,"AMIC, OJD",el9nou,el9nou.cat ,,
178,"AMIC, OJD",lasrepublicas,lasrepublicas.com ,,
179,"AMIC, OJD",catalunyaplural,catalunyaplural.cat ,,
180,"AMIC, OJD",larepublica,larepublica.cat ,,
181,"AMIC, OJD",xcatalunya,xcatalunya.cat,,
182,"AMIC, OJD",lleidadiari,lleidadiari.cat ,,
183,"AMIC, OJD",manresadiari,manresadiari.cat ,,
184,"AMIC, OJD",rubitv,rubitv.cat (grup naciodigital),,
185,"AMIC, OJD",somgranollers,somgranollers.cat ,,
186,"AMIC, OJD",somgranollers,,,
187,"AMIC, OJD",sommollet,sommollet.com,,
188,"AMIC, OJD",sommollet,,,
189,"AMIC, OJD",somvalles,somvalles.cat ,,
190,"AMIC, OJD",tarragona21,tarragona21.com ,,
191,"AMIC, OJD",territorirural,territorirural.cat (monrural.cat),,
192,"AMIC, OJD",audio,audio.cat    (tirabol),,
193,"AMIC, OJD",diariodemallorca,diariodemallorca.es (P.Iberica),,
194,"AMIC, OJD",tucomarca,tucomarca.com ,,
195,"AMIC, OJD",elsoller,elsoller.cat  ,,
196,"AMIC, OJD",diarilaveu,diarilaveu.cat (nosaltreslaveu.com),,
197,"AMIC, OJD",elperiodic,elperiodic.ad,,
198,"Iberfier, OJD",el punt avui,elpuntavui.cat,17005,
199,"Iberfier, CAC",emun fm ràdio,emunfmradio.cat,,25126
200,"Iberfier, CAC",ràdio vallromanes,radio.vallromanes.cat,08188,08188
201,"Iberfier, CAC",solsona fm,solsonafm.media,,25280
202,"Iberfier, CAC",alpicat ràdio,alpicatradio.com,25110,25110
203,"Iberfier, CAC",altafulla ràdio,altafullaradio.cat,43893,43893
204,"Iberfier, CAC",amposta ràdio,amposta.cat,43870,43870
205,"Iberfier, CAC",antena aldaia,antenaaldaia.com,46960,43896
206,"Iberfier, CAC",antena caro,antenacaro.cat,43520,43520
207,"Iberfier, CAC",canal 10 empordà,canal10.cat,17130,17130
208,"Iberfier, CAC",canal blau,canalblau.cat,08800,08800
209,"Iberfier, CAC",constantí ràdio,constantiradio.cat,43120,43120
210,"Iberfier, CAC",cope barcelona,cope.es,08007,08099
211,"Iberfier, CAC",digital hits fm,digitalhits.cat,08206,"08809,08206,08026"
214,"Iberfier, CAC",el prat ràdio,elpratradio.com,08820,08820
215,"Iberfier, CAC",flaix fm,flaixfm.cat,08007,"08391,08007"
217,"Iberfier, CAC",gum fm,gumfm.com,25530,
218,"Iberfier, CAC",imagina ràdio,imaginaradio.com,43500,43500
219,"Iberfier, CAC",la sénia ràdio,laseniaradio.cat,,43560
220,"Iberfier, CAC",la plana ràdio,laplanaradio.cat,13570,43570
221,"Iberfier, CAC",la veu de navàs,laveudenavas.navas.cat,,08670
222,"Iberfier, CAC",llagostera ràdio,llagosteraradio.cat,17240,17240
223,"Iberfier, CAC",mataró ràdio,mataroradio.cat,08302,08302
224,"Iberfier, CAC",nova ràdio lloret,novaradiolloret.org,17310,17310
225,"Iberfier, CAC",olot televisió,olot.tv,17800,17800
226,"Iberfier, CAC",ona codinenca,onacodinenca.cat,08182,08182
227,"Iberfier, CAC",ona la torre,ona-latorre.cat,43830,43830
228,"Iberfier, CAC",rac 1,rac1.org,08036,08036
229,"Iberfier, CAC",rac 105,rac105.cat,08036,08036
230,"Iberfier, CAC",ràdio abrera,radioabrera.cat,08630,08630
231,"Iberfier, CAC",ràdio arenys,radioarenys.cat,08350,08350
232,"Iberfier, CAC",ràdio arenys de munt,radioarenysmunt.cat,08358,08358
233,"Iberfier, CAC",ràdio argentona,argentona.cat,08310,08310
234,"Iberfier, CAC",ràdio balsareny,radiobalsareny.org,08660,08660
235,"Iberfier, CAC",ràdio banyoles,Radiobanyoles.cat,17820,17820
236,"Iberfier, CAC",ràdio blanes,radioblanes.cat,17300,17300
237,"Iberfier, CAC",ràdio cabrera,audiovisualcabrera.net,08349,08349
238,"Iberfier, CAC",ràdio caldes,radiocaldes.cat,08140,08140
239,"Iberfier, CAC",ràdio canet,radiocanet.cat,08360,08360
240,"Iberfier, CAC",ràdio cap de creus,radiocapdecreus.radiostream321.com,17488,17488
241,"Iberfier, CAC",ràdio capellades,radiocapellades.net,08786,08786
242,"Iberfier, CAC",ràdio cassà,radiocassa.cat,17244,17244
243,"Iberfier, CAC",ràdio castelldefels,radiocastelldefels.org,08860,08860
244,"Iberfier, CAC",ràdio celrà,radio.celra.cat,17460,17460
